| People and Society | Australia |
| --- | --- |
| Nationality: | noun: Australian(s) |
| Nationality: | adjective: Australian |
| Ethnic groups: | white 92%, Asian 7%, aboriginal and other 1% |
| Languages: | English 76.8%, Mandarin 1.6%, Italian 1.4%, Arabic 1.3%, Greek 1.2%, Cantonese 1.2%, Vietnamese 1.1%, other 10.4%, unspecified 5% (2011 est.) |
| Religions: | Protestant 28.8% (Anglican 17.1%, Uniting Church 5.0%, Presbyterian and Reformed 2.8%, Baptist, 1.6%, Lutheran 1.2%, Pentecostal 1.1%), Catholic 25.3%, Eastern Orthodox 2.6%, other Christian 4.5%, Buddhist 2.5%, Muslim 2.2%, Hindu 1.3%, other 8.4%, unspecified 2.2%, none 22.3% |
| Religions: | note: percentages add up to more than 100% due to rounding (2006 est.) |
| Population: | 22,507,617 (July 2014 est.) |
| Age structure: | 0-14 years: 18% (male 2,075,316/female 1,969,645) |
| Age structure: | 15-24 years: 13.3% (male 1,534,947/female 1,457,250) |
| Age structure: | 25-54 years: 41.8% (male 4,783,473/female 4,626,603) |
| Age structure: | 55-64 years: 11.8% (male 1,321,246/female 1,341,329) |
| Age structure: | 65 years and over: 15.1% (male 1,569,197/female 1,828,611) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 51 % |
| population pyramid: | youth dependency ratio: 28.9 % |
| population pyramid: | elderly dependency ratio: 22.1 % |
| population pyramid: | potential support ratio: 4.5 (2014 est.) |
| Median age: | total: 38.3 years |
| Median age: | male: 37.5 years |
| Median age: | female: 39 years (2014 est.) |
| Population growth rate: | 1.09% (2014 est.) |
| Birth rate: | 12.19 births/1,000 population (2014 est.) |
| Death rate: | 7.07 deaths/1,000 population (2014 est.) |
| Net migration rate: | 5.74 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 89.2% of total population (2011) |
| Urbanization: | rate of urbanization: 1.49% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Sydney 4.543 million; Melbourne 3.961 million; Brisbane 2.039 million; Perth 1.649 million; Adelaide 1.198 million; CANBERRA (capital) 399,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 30.5 (2006 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.43 deaths/1,000 live births |
| Infant mortality rate: | male: 4.74 deaths/1,000 live births |
| Infant mortality rate: | female: 4.1 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 82.07 years |
| Life expectancy at birth: | male: 79.63 years |
| Life expectancy at birth: | female: 84.64 years (2014 est.) |
| Total fertility rate: | 1.77 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 72.3% |
| Contraceptive prevalence rate: | note: percent of women aged 18-44 (2005) |
| Health expenditures: | 9% of GDP (2011) |
| Physicians density: | 3.85 physicians/1,000 population (2010) |
| Hospital bed density: | 3.9 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 20,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 26.8% (2008) |
| Children under the age of 5 years underweight: | 0.2% (2007) |
| Education expenditures: | 5.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 20 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2011) |
| Unemployment, youth ages 15-24: | total: 11.7% |
| Unemployment, youth ages 15-24: | male: 12.4% |
| Unemployment, youth ages 15-24: | female: 11% (2012) |
