| People and Society | Australia |
| --- | --- |
| Nationality: | noun: Australian(s) |
| Nationality: | adjective: Australian |
| Ethnic groups: | white 92%, Asian 7%, aboriginal and other 1% |
| Languages: | English 78.5%, Chinese 2.5%, Italian 1.6%, Greek 1.3%, Arabic 1.2%, Vietnamese 1%, other 8.2%, unspecified 5.7% (2006 Census) |
| Religions: | Protestant 27.4% (Anglican 18.7%, Uniting Church 5.7%, Presbyterian and Reformed 3%), Catholic 25.8%, Eastern Orthodox 2.7%, other Christian 7.9%, Buddhist 2.1%, Muslim 1.7%, other 2.4%, unspecified 11.3%, none 18.7% (2006 Census) |
| Population: | 22,262,501 (July 2013 est.) |
| Age structure: | 0-14 years: 18.1% (male 2,061,973/female 1,957,558) |
| Age structure: | 15-24 years: 13.4% (male 1,531,325/female 1,453,940) |
| Age structure: | 25-54 years: 42% (male 4,748,667/female 4,598,259) |
| Age structure: | 55-64 years: 11.8% (male 1,308,660/female 1,326,220) |
| Age structure: | 65 years and over: 14.7% (male 1,509,460/female 1,766,439) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.2 % |
| population pyramid: | youth dependency ratio: 28.6 % |
| population pyramid: | elderly dependency ratio: 21.5 % |
| population pyramid: | potential support ratio: 4.6 (2013) |
| Median age: | total: 38.1 years |
| Median age: | male: 37.3 years |
| Median age: | female: 38.8 years (2013 est.) |
| Population growth rate: | 1.11% (2013 est.) |
| Birth rate: | 12.23 births/1,000 population (2013 est.) |
| Death rate: | 7.01 deaths/1,000 population (2013 est.) |
| Net migration rate: | 5.83 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 89% of total population (2010) |
| Urbanization: | rate of urbanization: 1.2% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Sydney 4.429 million; Melbourne 3.853 million; Brisbane 1.97 million; Perth 1.599 million; CANBERRA (capital) 399,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 30.5 (2006 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.49 deaths/1,000 live births |
| Infant mortality rate: | male: 4.8 deaths/1,000 live births |
| Infant mortality rate: | female: 4.15 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 81.98 years |
| Life expectancy at birth: | male: 79.55 years |
| Life expectancy at birth: | female: 84.54 years (2013 est.) |
| Total fertility rate: | 1.77 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 72.3% |
| Contraceptive prevalence rate: | note: percent of women aged 18-44 (2005) |
| Health expenditures: | 9% of GDP (2011) |
| Physicians density: | 3.85 physicians/1,000 population (2010) |
| Hospital bed density: | 3.9 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 20,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 26.8% (2008) |
| Education expenditures: | 5.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 20 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2010) |
| Unemployment, youth ages 15-24: | total: 11.3% |
| Unemployment, youth ages 15-24: | male: 11.9% |
| Unemployment, youth ages 15-24: | female: 10.8% (2011) |
