| People and Society | Jamaica |
| --- | --- |
| Population: | 2,808,570 (July 2020 est.) |
| Nationality: | noun: Jamaican(s) |
| Nationality: | adjective: Jamaican |
| Ethnic groups: | Black 92.1%, mixed 6.1%, East Indian 0.8%, other 0.4%, unspecified 0.7% (2011 est.) |
| Languages: | English, English patois |
| Religions: | Protestant 64.8% (includes Seventh Day Adventist 12.0%, Pentecostal 11.0%, Other Church of God 9.2%, New Testament Church of God 7.2%, Baptist 6.7%, Church of God in Jamaica 4.8%, Church of God of Prophecy 4.5%, Anglican 2.8%, United Church 2.1%, Methodist 1.6%, Revived 1.4%, Brethren 0.9%, and Moravian 0.7%), Roman Catholic 2.2%, Jehovah's Witness 1.9%, Rastafarian 1.1%, other 6.5%, none 21.3%, unspecified 2.3% (2011 est.) |
| Age structure: | 0-14 years: 25.2% (male 360,199/female 347,436) |
| Age structure: | 15-24 years: 17.95% (male 255,102/female 248,927) |
| Age structure: | 25-54 years: 38.06% (male 518,583/female 550,410) |
| Age structure: | 55-64 years: 9.63% (male 133,890/female 136,442) |
| Age structure: | 65 years and over: 9.17% (male 121,969/female 135,612) (2020 est.) |
| Dependency ratios: | total dependency ratio: 48 |
| Dependency ratios: | youth dependency ratio: 34.6 |
| Dependency ratios: | elderly dependency ratio: 13.4 |
| Dependency ratios: | potential support ratio: 7.4 (2020 est.) |
| Median age: | total: 29.4 years |
| Median age: | male: 28.6 years |
| Median age: | female: 30.1 years (2020 est.) |
| Population growth rate: | -0.07% (2020 est.) |
| Birth rate: | 16.1 births/1,000 population (2020 est.) |
| Death rate: | 7.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -9.4 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population density is high throughout, but increases in and around Kingston, Montego Bay, and Port Esquivel |
| Urbanization: | urban population: 56.3% of total population (2020) |
| Urbanization: | rate of urbanization: 0.82% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 591,000 KINGSTON (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 21.2 years (2008 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 80 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.6 deaths/1,000 live births |
| Infant mortality rate: | male: 13 deaths/1,000 live births |
| Infant mortality rate: | female: 10.1 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 75.2 years |
| Life expectancy at birth: | male: 73.4 years |
| Life expectancy at birth: | female: 77.1 years (2020 est.) |
| Total fertility rate: | 2.07 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 98.5% of population |
| Drinking water source: | rural: 93% of population |
| Drinking water source: | total: 96% of population |
| Drinking water source: | unimproved: urban: 1.5% of population |
| Drinking water source: | rural: 7% of population |
| Drinking water source: | total: 4% of population (2017 est.) |
| Current Health Expenditure: | 6% (2017) |
| Physicians density: | 1.31 physicians/1,000 population (2017) |
| Hospital bed density: | 1.7 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 98.5% of population |
| Sanitation facility access: | rural: 99.5% of population |
| Sanitation facility access: | total: 99% of population |
| Sanitation facility access: | unimproved: urban: 1.5% of population |
| Sanitation facility access: | rural: 0.5% of population |
| Sanitation facility access: | total: 1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 32,000 (2019 est.) |
| HIV/AIDS - deaths: | 1,000 (2019 est.) |
| Obesity - adult prevalence rate: | 24.7% (2016) |
| Children under the age of 5 years underweight: | 2.2% (2014) |
| Education expenditures: | 5.2% of GDP (2019) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 88.7% |
| Literacy: | male: 84% |
| Literacy: | female: 93.1% (2015) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2015) |
| Unemployment, youth ages 15-24: | total: 24.2% |
| Unemployment, youth ages 15-24: | male: 20% |
| Unemployment, youth ages 15-24: | female: 29.3% (2018 est.) |
