| People and Society | Montserrat |
| --- | --- |
| Nationality: | noun: Montserratian(s) |
| Nationality: | adjective: Montserratian |
| Ethnic groups: | black, white |
| Languages: | English |
| Religions: | Protestant (Anglican, Methodist, Pentecostal, Seventh-Day Adventist, other Christian denominations), Roman Catholic |
| Population: | 5,140 (July 2011 est.) |
| Population: | note: an estimated 8,000 refugees left the island following the resumption of volcanic activity in July 1995; some have returned |
| Age structure: | 0-14 years: 26.9% (male 717/female 665) |
| Age structure: | 15-64 years: 66.6% (male 1,648/female 1,777) |
| Age structure: | 65 years and over: 6.5% (male 208/female 125) (2011 est.) |
| Median age: | total: 29.6 years |
| Median age: | male: 29.2 years |
| Median age: | female: 30.1 years (2011 est.) |
| Population growth rate: | 0.447% (2011 est.) |
| Birth rate: | 11.67 births/1,000 population (2011 est.) |
| Death rate: | 7.2 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 14% of total population (2010) |
| Urbanization: | rate of urbanization: 2.4% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.033 male(s)/female |
| Sex ratio: | under 15 years: 1.09 male(s)/female |
| Sex ratio: | 15-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 2.03 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 15.23 deaths/1,000 live births |
| Infant mortality rate: | male: 11.54 deaths/1,000 live births |
| Infant mortality rate: | female: 19.1 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 73.16 years |
| Life expectancy at birth: | male: 74.99 years |
| Life expectancy at birth: | female: 71.24 years (2011 est.) |
| Total fertility rate: | 1.26 children born/woman (2011 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 3.3% of GDP (2004) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 97% |
| Literacy: | male: 97% |
| Literacy: | female: 97% (1970 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2007) |
