| People and Society | Montserrat |
| --- | --- |
| Nationality: | noun: Montserratian(s) |
| Nationality: | adjective: Montserratian |
| Ethnic groups: | black, white |
| Languages: | English |
| Religions: | Protestant (Anglican, Methodist, Pentecostal, Seventh-Day Adventist, other Christian denominations), Roman Catholic |
| Population: | 5,164 (July 2012 est.) |
| Population: | note: an estimated 8,000 refugees left the island following the resumption of volcanic activity in July 1995; some have returned |
| Age structure: | 0-14 years: 26.3% (male 706/ female 651) |
| Age structure: | 15-64 years: 67.5% (male 1,683/ female 1,805) |
| Age structure: | 65 years and over: 6.2% (male 194/ female 125) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 30.2 years |
| Median age: | male: 29.7 years |
| Median age: | female: 30.7 years (2012 est.) |
| Population growth rate: | 0.484% (2012 est.) |
| Birth rate: | 11.62 births/1,000 population (2012 est.) |
| Death rate: | 6.78 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 14% of total population (2010) |
| Urbanization: | rate of urbanization: 2.4% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | under 15 years: 1.08 male(s)/female |
| Sex ratio: | 15-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 1.55 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 14.69 deaths/1,000 live births |
| Infant mortality rate: | male: 11.2 deaths/1,000 live births |
| Infant mortality rate: | female: 18.34 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 73.41 years |
| Life expectancy at birth: | male: 75.15 years |
| Life expectancy at birth: | female: 71.58 years (2012 est.) |
| Total fertility rate: | 1.27 children born/woman (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 3.3% of GDP (2004) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 97% |
| Literacy: | male: 97% |
| Literacy: | female: 97% (1970 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2007) |
