| People and Society | Virgin Islands |
| --- | --- |
| Population: | 106,235 (July 2020 est.) |
| Nationality: | noun: Virgin Islander(s) (US citizens) |
| Nationality: | adjective: Virgin Islander |
| Ethnic groups: | Black 76%, White 15.6%, Asian 1.4%, other 4.9%, mixed 2.1% (2010 est.) |
| Ethnic groups: | note: 17.4% self-identify as latino |
| Languages: | English 71.6%, Spanish or Spanish Creole 17.2%, French or French Creole 8.6%, other 2.5% (2010 est.) |
| Religions: | Protestant 59% (Baptist 42%, Episcopalian 17%), Roman Catholic 34%, other 7% |
| Age structure: | 0-14 years: 19.9% (male 10,820/female 10,322) |
| Age structure: | 15-24 years: 10.32% (male 5,329/female 5,632) |
| Age structure: | 25-54 years: 36.43% (male 18,127/female 20,576) |
| Age structure: | 55-64 years: 14.16% (male 7,177/female 7,864) |
| Age structure: | 65 years and over: 19.19% (male 9,153/female 11,235) (2020 est.) |
| Dependency ratios: | total dependency ratio: 66 |
| Dependency ratios: | youth dependency ratio: 32 |
| Dependency ratios: | elderly dependency ratio: 34 |
| Dependency ratios: | potential support ratio: 2.9 (2020 est.) |
| Median age: | total: 41.8 years |
| Median age: | male: 40.6 years |
| Median age: | female: 42.8 years (2020 est.) |
| Population growth rate: | -0.37% (2020 est.) |
| Birth rate: | 12.1 births/1,000 population (2020 est.) |
| Death rate: | 8.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -7.5 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | while overall population density throughout the islands is relatively low, concentrations appear around Charlotte Amalie on St. Thomas and Christiansted on St. Croix |
| Urbanization: | urban population: 95.9% of total population (2020) |
| Urbanization: | rate of urbanization: 0.1% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 52,000 CHARLOTTE AMALIE (capital) (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 0.95 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 7.4 deaths/1,000 live births |
| Infant mortality rate: | male: 8.4 deaths/1,000 live births |
| Infant mortality rate: | female: 6.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 79.8 years |
| Life expectancy at birth: | male: 76.6 years |
| Life expectancy at birth: | female: 83.2 years (2020 est.) |
| Total fertility rate: | 2.03 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 98.7% of population |
| Drinking water source: | unimproved: total: 1.3% of population (2017 est.) |
| Sanitation facility access: | improved: total: 100% of population |
| Sanitation facility access: | unimproved: total: 100% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
