| People and Society | Virgin Islands |
| --- | --- |
| Nationality: | noun: Virgin Islander(s) (US citizens) |
| Nationality: | adjective: Virgin Islander |
| Ethnic groups: | black 76.2%, white 13.1%, Asian 1.1%, other 6.1%, mixed 3.5% (2000 census) |
| Languages: | English 74.7%, Spanish or Spanish Creole 16.8%, French or French Creole 6.6%, other 1.9% (2000 census) |
| Religions: | Protestant 59% (Baptist 42%, Episcopalian 17%), Roman Catholic 34%, other 7% |
| Population: | 104,737 (July 2013 est.) |
| Age structure: | 0-14 years: 18.2% (male 9,669/female 9,407) |
| Age structure: | 15-24 years: 10.6% (male 5,075/female 6,063) |
| Age structure: | 25-54 years: 39.3% (male 18,698/female 22,444) |
| Age structure: | 55-64 years: 14.1% (male 7,036/female 7,750) |
| Age structure: | 65 years and over: 17.8% (male 8,431/female 10,164) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 58.1 % |
| population pyramid: | youth dependency ratio: 32.7 % |
| population pyramid: | elderly dependency ratio: 25.3 % |
| population pyramid: | potential support ratio: 3.9 (2013) |
| Median age: | total: 43.5 years |
| Median age: | male: 43.7 years |
| Median age: | female: 43.3 years (2013 est.) |
| Population growth rate: | -0.53% (2013 est.) |
| Birth rate: | 10.69 births/1,000 population (2013 est.) |
| Death rate: | 7.95 deaths/1,000 population (2013 est.) |
| Net migration rate: | -8.01 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 95% of total population (2010) |
| Urbanization: | rate of urbanization: -0.1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | CHARLOTTE AMALIE (capital) 54,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 0.83 male(s)/female |
| Sex ratio: | 25-54 years: 0.84 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.88 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 6.94 deaths/1,000 live births |
| Infant mortality rate: | male: 7.65 deaths/1,000 live births |
| Infant mortality rate: | female: 6.17 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 79.61 years |
| Life expectancy at birth: | male: 76.57 years |
| Life expectancy at birth: | female: 82.83 years (2013 est.) |
| Total fertility rate: | 1.77 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 78.4% |
| Contraceptive prevalence rate: | note: percent of women aged 18-44 (2002) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 90-95% est. |
| Literacy: | male: NA |
| Literacy: | female: NA (2005 est.) |
