| People and Society | Lithuania |
| --- | --- |
| Nationality: | noun: Lithuanian(s) |
| Nationality: | adjective: Lithuanian |
| Ethnic groups: | Lithuanian 84%, Polish 6.6%, Russian 5.9%, Belarusian 1.2%, other or unspecified 2.3% (2011) |
| Languages: | Lithuanian (official) 82%, Russian 8%, Polish 5.6%, other and unspecified 4.4% (2001 census) |
| Religions: | Roman Catholic 79%, Russian Orthodox 4.1%, Protestant (including Lutheran and Evangelical Christian Baptist) 1.9%, other or unspecified 5.5%, none 9.5% (2001 census) |
| Population: | 3,515,858 (July 2013 est.) |
| Population: | note: Statistics Lithuania (the national statistical agency of Lithuania) estimates the country's total population at the start of 2013 to be 2,971,905, which takes into account the findings of Lithuania's 2011 census and the high rate of net outmigration since the country joined the EU in 2004 |
| Age structure: | 0-14 years: 13.6% (male 245,028/female 232,356) |
| Age structure: | 15-24 years: 13% (male 233,939/female 223,495) |
| Age structure: | 25-54 years: 44.8% (male 784,389/female 790,066) |
| Age structure: | 55-64 years: 11.9% (male 187,057/female 229,943) |
| Age structure: | 65 years and over: 16.8% (male 204,314/female 385,271) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 44.6 % |
| population pyramid: | youth dependency ratio: 22 % |
| population pyramid: | elderly dependency ratio: 22.7 % |
| population pyramid: | potential support ratio: 4.4 (2013) |
| Median age: | total: 40.8 years |
| Median age: | male: 38.2 years |
| Median age: | female: 43.3 years (2013 est.) |
| Population growth rate: | -0.28% (2013 est.) |
| Birth rate: | 9.36 births/1,000 population (2013 est.) |
| Death rate: | 11.48 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.73 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 67% of total population (2010) |
| Urbanization: | rate of urbanization: -0.5% annual rate of change (2010-15 est.) |
| Major urban areas - population: | VILNIUS (capital) 546,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.81 male(s)/female |
| Sex ratio: | 65 years and over: 0.53 male(s)/female |
| Sex ratio: | total population: 0.89 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 26.6 (2010 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 6.09 deaths/1,000 live births |
| Infant mortality rate: | male: 7.26 deaths/1,000 live births |
| Infant mortality rate: | female: 4.85 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 75.77 years |
| Life expectancy at birth: | male: 70.96 years |
| Life expectancy at birth: | female: 80.84 years (2013 est.) |
| Total fertility rate: | 1.28 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 62.9% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2006) |
| Health expenditures: | 7% of GDP (2010) |
| Physicians density: | 3.64 physicians/1,000 population (2010) |
| Hospital bed density: | 6.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93% of population |
| Drinking water source: | rural: 81% of population |
| Drinking water source: | total: 92% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 19% of population |
| unimproved: | total: 8% of population (2000 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95% of population |
| Sanitation facility access: | rural: 69% of population |
| Sanitation facility access: | total: 86% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 31% of population |
| unimproved: | total: 14% of population (2000 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,200 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis (2013) |
| Obesity - adult prevalence rate: | 27.6% (2008) |
| Education expenditures: | 5.7% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.7% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2011) |
| Unemployment, youth ages 15-24: | total: 32.9% |
| Unemployment, youth ages 15-24: | male: 34.6% |
| Unemployment, youth ages 15-24: | female: 30.5% (2011) |
