| People | India |
| --- | --- |
| Population: | 1,129,866,154 (July 2007 est.) |
| Age structure: | 0-14 years: 31.8% (male 188,208,196/female 171,356,024) |
| Age structure: | 15-64 years: 63.1% (male 366,977,821/female 346,034,565) |
| Age structure: | 65 years and over: 5.1% (male 27,258,259/female 30,031,289) (2007 est.) |
| Median age: | total: 24.8 years |
| Median age: | male: 24.5 years |
| Median age: | female: 25.2 years (2007 est.) |
| Population growth rate: | 1.606% (2007 est.) |
| Birth rate: | 22.69 births/1,000 population (2007 est.) |
| Death rate: | 6.58 deaths/1,000 population (2007 est.) |
| Net migration rate: | -0.05 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.12 male(s)/female |
| Sex ratio: | under 15 years: 1.098 male(s)/female |
| Sex ratio: | 15-64 years: 1.061 male(s)/female |
| Sex ratio: | 65 years and over: 0.908 male(s)/female |
| Sex ratio: | total population: 1.064 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 34.61 deaths/1,000 live births |
| Infant mortality rate: | male: 39.42 deaths/1,000 live births |
| Infant mortality rate: | female: 29.23 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 68.59 years |
| Life expectancy at birth: | male: 66.28 years |
| Life expectancy at birth: | female: 71.17 years (2007 est.) |
| Total fertility rate: | 2.81 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 0.9% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 5.1 million (2001 est.) |
| HIV/AIDS - deaths: | 310,000 (2001 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis are high risks in some locations |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified among birds in this country or surrounding region; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2007) |
| Nationality: | noun: Indian(s) |
| Nationality: | adjective: Indian |
| Ethnic groups: | Indo-Aryan 72%, Dravidian 25%, Mongoloid and other 3% (2000) |
| Religions: | Hindu 80.5%, Muslim 13.4%, Christian 2.3%, Sikh 1.9%, other 1.8%, unspecified 0.1% (2001 census) |
| Languages: | English enjoys associate status but is the most important language for national, political, and commercial communication; Hindi is the national language and primary tongue of 30% of the people; there are 14 other official languages: Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Malayalam, Kannada, Oriya, Punjabi, Assamese, Kashmiri, Sindhi, and Sanskrit; Hindustani is a popular variant of Hindi/Urdu spoken widely throughout northern India but is not an official language |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61% |
| Literacy: | male: 73.4% |
| Literacy: | female: 47.8% (2001 census) |
