| People and Society | India |
| --- | --- |
| Nationality: | noun: Indian(s) |
| Nationality: | adjective: Indian |
| Ethnic groups: | Indo-Aryan 72%, Dravidian 25%, Mongoloid and other 3% (2000) |
| Languages: | Hindi 41%, Bengali 8.1%, Telugu 7.2%, Marathi 7%, Tamil 5.9%, Urdu 5%, Gujarati 4.5%, Kannada 3.7%, Malayalam 3.2%, Oriya 3.2%, Punjabi 2.8%, Assamese 1.3%, Maithili 1.2%, other 5.9% |
| Languages: | note: English enjoys the status of subsidiary official language but is the most important language for national, political, and commercial communication; Hindi is the most widely spoken language and primary tongue of 41% of the people; there are 14 other official languages: Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Malayalam, Kannada, Oriya, Punjabi, Assamese, Kashmiri, Sindhi, and Sanskrit; Hindustani is a popular variant of Hindi/Urdu spoken widely throughout northern India but is not an official language (2001 census) |
| Religions: | Hindu 80.5%, Muslim 13.4%, Christian 2.3%, Sikh 1.9%, other 1.8%, unspecified 0.1% (2001 census) |
| Population: | 1,236,344,631 (July 2014 est.) |
| Age structure: | 0-14 years: 28.5% (male 187,016,401/female 165,048,695) |
| Age structure: | 15-24 years: 18.1% (male 118,696,540/female 105,342,764) |
| Age structure: | 25-54 years: 40.6% (male 258,202,535/female 243,293,143) |
| Age structure: | 55-64 years: 7% (male 43,625,668/female 43,175,111) |
| Age structure: | 65 years and over: 5.7% (male 34,133,175/female 37,810,599) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 51.8 % |
| population pyramid: | youth dependency ratio: 43.6 % |
| population pyramid: | elderly dependency ratio: 8.1 % |
| population pyramid: | potential support ratio: 12.3 (2014 est.) |
| Median age: | total: 27 years |
| Median age: | male: 26.4 years |
| Median age: | female: 27.7 years (2014 est.) |
| Population growth rate: | 1.25% (2014 est.) |
| Birth rate: | 19.89 births/1,000 population (2014 est.) |
| Death rate: | 7.35 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.05 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 31.3% of total population (2011) |
| Urbanization: | rate of urbanization: 2.47% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NEW DELHI (capital) 22.654 million; Mumbai 19.744 million; Kolkata 14.402 million; Chennai 8.784 million; Bangalore 8.614 million; Hyderabad 7.837 million (2011) |
| Sex ratio: | at birth: 1.12 male(s)/female |
| Sex ratio: | 0-14 years: 1.13 male(s)/female |
| Sex ratio: | 15-24 years: 1.13 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 1.08 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 1.08 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 19.9 (2005-06 est.) |
| Maternal mortality rate: | 200 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 43.19 deaths/1,000 live births |
| Infant mortality rate: | male: 41.9 deaths/1,000 live births |
| Infant mortality rate: | female: 44.63 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 67.8 years |
| Life expectancy at birth: | male: 66.68 years |
| Life expectancy at birth: | female: 69.06 years (2014 est.) |
| Total fertility rate: | 2.51 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 54.8% (2007/08) |
| Health expenditures: | 3.9% of GDP (2011) |
| Physicians density: | 0.65 physicians/1,000 population (2009) |
| Hospital bed density: | 0.9 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.7% of population |
| Drinking water source: | rural: 90.7% of population |
| Drinking water source: | total: 92.6% of population |
| unimproved: | urban: 3.3% of population |
| unimproved: | rural: 9.3% of population |
| unimproved: | total: 7.4% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 60.2% of population |
| Sanitation facility access: | rural: 24.7% of population |
| Sanitation facility access: | total: 36% of population |
| unimproved: | urban: 39.8% of population |
| unimproved: | rural: 75.3% of population |
| unimproved: | total: 64% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2.085 million (2012 est.) |
| HIV/AIDS - deaths: | 135,500 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 1.9% (2008) |
| Children under the age of 5 years underweight: | 43.5% (2006) |
| Education expenditures: | 3.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 62.8% |
| Literacy: | male: 75.2% |
| Literacy: | female: 50.8% (2006 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2011) |
| Child labor - children ages 5-14: | total number: 26,965,074 |
| Child labor - children ages 5-14: | percentage: 12 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 10.7% |
| Unemployment, youth ages 15-24: | male: 10.4% |
| Unemployment, youth ages 15-24: | female: 11.6% (2012) |
