| People and Society | NEPAL |
| --- | --- |
| Population: | 29,033,914 (July 2016 est.) |
| Nationality: | noun: Nepali (singular and plural) |
| Nationality: | adjective: Nepali |
| Ethnic groups: | Chhettri 16.6%, Brahman-Hill 12.2%, Magar 7.1%, Tharu 6.6%, Tamang 5.8%, Newar 5%, Kami 4.8%, Muslim 4.4%, Yadav 4%, Rai 2.3%, Gurung 2%, Damai/Dholii 1.8%, Thakuri 1.6%, Limbu 1.5%, Sarki 1.4%, Teli 1.4%, Chamar/Harijan/Ram 1.3%, Koiri/Kushwaha 1.2%, other 19% |
| Ethnic groups: | note: 125 caste/ethnic groups were reported in the 2011 national census (2011 est.) |
| Languages: | Nepali (official) 44.6%, Maithali 11.7%, Bhojpuri 6%, Tharu 5.8%, Tamang 5.1%, Newar 3.2%, Magar 3%, Bajjika 3%, Urdu 2.6%, Avadhi 1.9%, Limbu 1.3%, Gurung 1.2%, other 10.4%, unspecified 0.2% |
| Languages: | note: 123 languages reported as mother tongue in 2011 national census; many in government and business also speak English (2011 est.) |
| Religions: | Hindu 81.3%, Buddhist 9%, Muslim 4.4%, Kirant 3.1%, Christian 1.4%, other 0.5%, unspecifed 0.2% (2011 est.) |
| Age structure: | 0-14 years: 30.93% (male 4,646,048/female 4,333,105) |
| Age structure: | 15-24 years: 21.86% (male 3,176,158/female 3,169,721) |
| Age structure: | 25-54 years: 35.99% (male 4,707,264/female 5,740,985) |
| Age structure: | 55-64 years: 6.22% (male 877,288/female 927,202) |
| Age structure: | 65 years and over: 5.02% (male 723,523/female 732,620) (2016 est.) |
| Dependency ratios: | total dependency ratio: 61.8% |
| Dependency ratios: | youth dependency ratio: 52.9% |
| Dependency ratios: | elderly dependency ratio: 9% |
| Dependency ratios: | potential support ratio: 11.1% (2015 est.) |
| Median age: | total: 23.6 years |
| Median age: | male: 22.4 years |
| Median age: | female: 24.8 years (2016 est.) |
| Population growth rate: | 1.24% (2016 est.) |
| Birth rate: | 19.9 births/1,000 population (2016 est.) |
| Death rate: | 5.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 18.6% of total population (2015) |
| Urbanization: | rate of urbanization: 3.18% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KATHMANDU (capital) 1.183 million (2015) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.82 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.1 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 258 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 28.9 deaths/1,000 live births |
| Infant mortality rate: | male: 30.2 deaths/1,000 live births |
| Infant mortality rate: | female: 27.5 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 70.7 years |
| Life expectancy at birth: | male: 70.1 years |
| Life expectancy at birth: | female: 71.3 years (2016 est.) |
| Total fertility rate: | 2.18 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 49.7% (2011) |
| Health expenditures: | 5.8% of GDP (2014) |
| Hospital bed density: | 5 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 90.9% of population |
| Drinking water source: | rural: 91.8% of population |
| Drinking water source: | total: 91.6% of population |
| unimproved: | urban: 9.1% of population |
| unimproved: | rural: 8.2% of population |
| unimproved: | total: 8.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 56% of population |
| Sanitation facility access: | rural: 43.5% of population |
| Sanitation facility access: | total: 45.8% of population |
| unimproved: | urban: 44% of population |
| unimproved: | rural: 56.5% of population |
| unimproved: | total: 54.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.21% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 39,400 (2015 est.) |
| HIV/AIDS - deaths: | 2,300 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne disease: Japanese encephalitis, malaria, and dengue fever (2016) |
| Obesity - adult prevalence rate: | 2.9% (2014) |
| Children under the age of 5 years underweight: | 30.1% (2014) |
| Education expenditures: | 4.7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 63.9% |
| Literacy: | male: 76.4% |
| Literacy: | female: 53.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2013) |
| Child labor - children ages 5-14: | total number: 2,467,549 |
| Child labor - children ages 5-14: | percentage: 34% (2008 est.) |
| Unemployment, youth ages 15-24: | total: 3.5% |
| Unemployment, youth ages 15-24: | male: 4.2% |
| Unemployment, youth ages 15-24: | female: 2.9% (2008 est.) |
