| People | Liberia |
| --- | --- |
| Population: | 3,482,211 (July 2005 est.) |
| Age structure: | 0-14 years: 43.6% (male 765,662/female 751,134) |
| Age structure: | 15-64 years: 52.8% (male 896,206/female 940,985) |
| Age structure: | 65 years and over: 3.7% (male 64,547/female 63,677) (2005 est.) |
| Median age: | total: 18.06 years |
| Median age: | male: 17.69 years |
| Median age: | female: 18.42 years (2005 est.) |
| Population growth rate: | 2.64% (2005 est.) |
| Birth rate: | 44.22 births/1,000 population (2005 est.) |
| Death rate: | 17.87 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Net migration rate: | note: at least 200,000 Liberian refugees are in surrounding countries; the uncertain security situation has hindered their ability to return (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 1.01 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 128.87 deaths/1,000 live births |
| Infant mortality rate: | male: 135.64 deaths/1,000 live births |
| Infant mortality rate: | female: 121.9 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 38.89 years |
| Life expectancy at birth: | male: 37.03 years |
| Life expectancy at birth: | female: 40.81 years (2005 est.) |
| Total fertility rate: | 6.09 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 5.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 100,000 (2003 est.) |
| HIV/AIDS - deaths: | 7,200 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2004) |
| Nationality: | noun: Liberian(s) |
| Nationality: | adjective: Liberian |
| Ethnic groups: | indigenous African tribes 95% (including Kpelle, Bassa, Gio, Kru, Grebo, Mano, Krahn, Gola, Gbandi, Loma, Kissi, Vai, Dei, Bella, Mandingo, and Mende), Americo-Liberians 2.5% (descendants of immigrants from the US who had been slaves), Congo People 2.5% (descendants of immigrants from the Caribbean who had been slaves) |
| Religions: | indigenous beliefs 40%, Christian 40%, Muslim 20% |
| Languages: | English 20% (official), some 20 ethnic group languages, of which a few can be written and are used in correspondence |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.5% |
| Literacy: | male: 73.3% |
| Literacy: | female: 41.6% (2003 est.) |
