| People | Liberia |
| --- | --- |
| Population: | 3,042,004 (July 2006 est.) |
| Age structure: | 0-14 years: 43.1% (male 656,016/female 653,734) |
| Age structure: | 15-64 years: 54.2% (male 816,443/female 832,152) |
| Age structure: | 65 years and over: 2.8% (male 40,591/female 43,068) (2006 est.) |
| Median age: | total: 18.1 years |
| Median age: | male: 18 years |
| Median age: | female: 18.3 years (2006 est.) |
| Population growth rate: | 4.91% (2006 est.) |
| Birth rate: | 44.77 births/1,000 population (2006 est.) |
| Death rate: | 23.1 deaths/1,000 population (2006 est.) |
| Net migration rate: | 27.39 migrant(s)/1,000 population |
| Net migration rate: | note: at least 238,500 Liberian refugees are in surrounding countries; the uncertain security situation has hindered their ability to return (2006 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.94 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2006 est.) |
| Infant mortality rate: | total: 155.76 deaths/1,000 live births |
| Infant mortality rate: | male: 171.96 deaths/1,000 live births |
| Infant mortality rate: | female: 139.06 deaths/1,000 live births (2006 est.) |
| Life expectancy at birth: | total population: 39.65 years |
| Life expectancy at birth: | male: 37.99 years |
| Life expectancy at birth: | female: 41.35 years (2006 est.) |
| Total fertility rate: | 6.02 children born/woman (2006 est.) |
| HIV/AIDS - adult prevalence rate: | 5.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 100,000 (2003 est.) |
| HIV/AIDS - deaths: | 7,200 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2005) |
| Nationality: | noun: Liberian(s) |
| Nationality: | adjective: Liberian |
| Ethnic groups: | indigenous African 95% (including Kpelle, Bassa, Gio, Kru, Grebo, Mano, Krahn, Gola, Gbandi, Loma, Kissi, Vai, Dei, Bella, Mandingo, and Mende), Americo-Liberians 2.5% (descendants of immigrants from the US who had been slaves), Congo People 2.5% (descendants of immigrants from the Caribbean who had been slaves) |
| Religions: | indigenous beliefs 40%, Christian 40%, Muslim 20% |
| Languages: | English 20% (official), some 20 ethnic group languages, of which a few can be written and are used in correspondence |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.5% |
| Literacy: | male: 73.3% |
| Literacy: | female: 41.6% (2003 est.) |
