| People | Liberia |
| --- | --- |
| Population: | 3,685,076 (July 2010 est.) |
| Age structure: | 0-14 years: 44.1% (male 760,989/female 758,554) |
| Age structure: | 15-64 years: 53% (male 904,770/female 920,704) |
| Age structure: | 65 years and over: 2.8% (male 47,013/female 49,760) (2010 est.) |
| Median age: | total: 18.4 years |
| Median age: | male: 18.3 years |
| Median age: | female: 18.4 years (2010 est.) |
| Population growth rate: | 2.782% (2010 est.) |
| Birth rate: | 38.14 births/1,000 population (2010 est.) |
| Death rate: | 10.88 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0.56 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 60% of total population (2008) |
| Urbanization: | rate of urbanization: 5.6% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 1.03 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 76.43 deaths/1,000 live births |
| Infant mortality rate: | male: 80.92 deaths/1,000 live births |
| Infant mortality rate: | female: 71.8 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 56.58 years |
| Life expectancy at birth: | male: 55.05 years |
| Life expectancy at birth: | female: 58.14 years (2010 est.) |
| Total fertility rate: | 5.24 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.7% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 35,000 (2007 est.) |
| HIV/AIDS - deaths: | 2,300 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Liberian(s) |
| Nationality: | adjective: Liberian |
| Ethnic groups: | Kpelle 20.3%, Bassa 13.4%, Grebo 10%, Gio 8%, Mano 7.9%, Kru 6%, Lorma 5.1%, Kissi 4.8%, Gola 4.4%, other 20.1% (2008 Census) |
| Religions: | Christian 85.6%, Muslim 12.2%, Traditional 0.6%, other 0.2%, none 1.4% (2008 Census) |
| Languages: | English 20% (official), some 20 ethnic group languages few of which can be written or used in correspondence |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.5% |
| Literacy: | male: 73.3% |
| Literacy: | female: 41.6% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2000) |
| Education expenditures: | 2.7% of GDP (2008) |
