| People and Society | Liberia |
| --- | --- |
| Nationality: | noun: Liberian(s) |
| Nationality: | adjective: Liberian |
| Ethnic groups: | Kpelle 20.3%, Bassa 13.4%, Grebo 10%, Gio 8%, Mano 7.9%, Kru 6%, Lorma 5.1%, Kissi 4.8%, Gola 4.4%, other 20.1% (2008 Census) |
| Languages: | English 20% (official), some 20 ethnic group languages few of which can be written or used in correspondence |
| Religions: | Christian 85.6%, Muslim 12.2%, Traditional 0.6%, other 0.2%, none 1.4% (2008 Census) |
| Population: | 3,989,703 (July 2013 est.) |
| Age structure: | 0-14 years: 43.6% (male 876,696/female 863,873) |
| Age structure: | 15-24 years: 17.8% (male 345,357/female 363,746) |
| Age structure: | 25-54 years: 31.3% (male 622,806/female 624,707) |
| Age structure: | 55-64 years: 4.3% (male 84,252/female 87,250) |
| Age structure: | 65 years and over: 3% (male 60,288/female 60,728) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 84.9 % |
| population pyramid: | youth dependency ratio: 79.3 % |
| population pyramid: | elderly dependency ratio: 5.6 % |
| population pyramid: | potential support ratio: 17.8 (2013) |
| Median age: | total: 17.9 years |
| Median age: | male: 17.7 years |
| Median age: | female: 18.1 years (2013 est.) |
| Population growth rate: | 2.56% (2013 est.) |
| Birth rate: | 35.75 births/1,000 population (2013 est.) |
| Death rate: | 10.12 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 48.2% of total population (2011) |
| Urbanization: | rate of urbanization: 3.43% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MONROVIA (capital) 882,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.95 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 1.01 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 19.1 (2007 est.) |
| Maternal mortality rate: | 770 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 70.93 deaths/1,000 live births |
| Infant mortality rate: | male: 75.25 deaths/1,000 live births |
| Infant mortality rate: | female: 66.47 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 57.81 years |
| Life expectancy at birth: | male: 56.2 years |
| Life expectancy at birth: | female: 59.47 years (2013 est.) |
| Total fertility rate: | 4.92 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 11.4% (2007) |
| Health expenditures: | 19.5% of GDP (2011) |
| Physicians density: | 0.01 physicians/1,000 population (2008) |
| Hospital bed density: | 0.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 88% of population |
| Drinking water source: | rural: 60% of population |
| Drinking water source: | total: 73% of population |
| unimproved: | urban: 12% of population |
| unimproved: | rural: 40% of population |
| unimproved: | total: 27% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 29% of population |
| Sanitation facility access: | rural: 7% of population |
| Sanitation facility access: | total: 18% of population |
| unimproved: | urban: 71% of population |
| unimproved: | rural: 93% of population |
| unimproved: | total: 82% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 37,000 (2009 est.) |
| HIV/AIDS - deaths: | 3,600 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.8% (2008) |
| Children under the age of 5 years underweight: | 20.4% (2007) |
| Education expenditures: | 2.8% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 60.8% |
| Literacy: | male: 64.8% |
| Literacy: | female: 56.8% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2000) |
| Child labor - children ages 5-14: | total number: 177,160 |
| Child labor - children ages 5-14: | percentage: 21 % (2007 est.) |
| Unemployment, youth ages 15-24: | total: 5.1% |
| Unemployment, youth ages 15-24: | male: 3.4% |
| Unemployment, youth ages 15-24: | female: 6.6% (2010) |
