| People and Society | ARGENTINA |
| --- | --- |
| Population: | 44,293,293 (July 2017 est.) |
| Nationality: | noun: Argentine(s) |
| Nationality: | adjective: Argentine |
| Ethnic groups: | European (mostly Spanish and Italian descent) and mestizo (mixed European and Amerindian ancestry) 97.2%, Amerindian 2.4%, African 0.4% (2010 est.) |
| Languages: | Spanish (official), Italian, English, German, French, indigenous (Mapudungun, Quechua) |
| Religions: | nominally Roman Catholic 92% (less than 20% practicing), Protestant 2%, Jewish 2%, other 4% |
| Demographic profile: | Argentina's population continues to grow but at a slower rate because of its steadily declining birth rate. Argentina's fertility decline began earlier than in the rest of Latin America, occurring most rapidly between the early 20th century and the 1950s and then becoming more gradual. Life expectancy has been improving, most notably among the young and the poor. While the population under age 15 is shrinking, the youth cohort - ages 15-24 - is the largest in Argentina's history and will continue to bolster the working-age population. If this large working-age population is well-educated and gainfully employed, Argentina is likely to experience an economic boost and possibly higher per capita savings and investment. Although literacy and primary school enrollment are nearly universal, grade repetition is problematic and secondary school completion is low. Both of these issues vary widely by region and socioeconomic group. |
| Demographic profile: | Argentina has been primarily a country of immigration for most of its history, welcoming European immigrants after its independence in the 19th century and attracting especially large numbers from Spain and Italy. European immigration diminished in the 1950s, when Argentina's military dictatorships tightened immigration rules and European economies rebounded. Regional migration, however, continued to supply low-skilled workers and today it accounts for three-quarters of Argentina's immigrant population. The first waves of highly skilled Argentine emigrant workers headed mainly to the United States and Spain in the 1960s and 1970s. The 2008 European economic crisis drove the return migration of some Argentinean and other Latin American nationals, as well as the immigration of Europeans to South America, where Argentina was a key recipient. |
| Age structure: | 0-14 years: 24.59% (male 5,612,766/female 5,278,857) |
| Age structure: | 15-24 years: 15.28% (male 3,460,276/female 3,307,227) |
| Age structure: | 25-54 years: 39.38% (male 8,707,818/female 8,733,370) |
| Age structure: | 55-64 years: 9.13% (male 1,963,923/female 2,081,796) |
| Age structure: | 65 years and over: 11.62% (male 2,159,811/female 2,987,449) (2017 est.) |
| Dependency ratios: | total dependency ratio: 56.5 |
| Dependency ratios: | youth dependency ratio: 39.4 |
| Dependency ratios: | elderly dependency ratio: 17.1 |
| Dependency ratios: | potential support ratio: 5.8 (2015 est.) |
| Median age: | total: 31.7 years |
| Median age: | male: 30.5 years |
| Median age: | female: 32.9 years (2017 est.) |
| Population growth rate: | 0.91% (2017 est.) |
| Birth rate: | 16.7 births/1,000 population (2017 est.) |
| Death rate: | 7.5 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | one-third of the population lives in Buenos Aires; pockets of agglomeration occur throughout the northern and central parts of the country; Patagonia to the south remains sparsely populated |
| Urbanization: | urban population: 92% of total population (2017) |
| Urbanization: | rate of urbanization: 0.93% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BUENOS AIRES (capital) 15.18 million; Cordoba 1.511 million; Rosario 1.381 million; Mendoza 1.009 million; San Miguel de Tucuman 910,000; La Plata 846,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Maternal mortality rate: | 52 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9.8 deaths/1,000 live births |
| Infant mortality rate: | male: 10.7 deaths/1,000 live births |
| Infant mortality rate: | female: 8.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 77.3 years |
| Life expectancy at birth: | male: 74.2 years |
| Life expectancy at birth: | female: 80.6 years (2017 est.) |
| Total fertility rate: | 2.26 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 81.3% (2013) |
| Health expenditures: | 4.8% of GDP (2014) |
| Physicians density: | 3.76 physicians/1,000 population (2013) |
| Hospital bed density: | 4.7 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.1% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.2% of population |
| Sanitation facility access: | rural: 98.3% of population |
| Sanitation facility access: | total: 96.4% of population |
| unimproved: | urban: 3.8% of population |
| unimproved: | rural: 1.7% of population |
| unimproved: | total: 3.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2016 est.) |
| HIV/AIDS - deaths: | 2,400 (2016 est.) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 28.3% (2016) |
| Children under the age of 5 years underweight: | 2.3% (2005) |
| Education expenditures: | 5.5% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.1% |
| Literacy: | male: 98% |
| Literacy: | female: 98.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
