| People and Society | Croatia |
| --- | --- |
| Population: | 4,270,480 (July 2018 est.) |
| Nationality: | noun: Croat(s), Croatian(s) |
| Nationality: | adjective: Croatian |
| Nationality: | note: the French designation of "Croate" to Croatian mercenaries in the 17th century eventually became "Cravate" and later came to be applied to the soldiers' scarves - the cravat; Croatia celebrates Cravat Day every 18 October |
| Ethnic groups: | Croat 90.4%, Serb 4.4%, other 4.4% (including Bosniak, Hungarian, Slovene, Czech, and Romani), unspecified 0.8% (2011 est.) |
| Languages: | Croatian (official) 95.6%, Serbian 1.2%, other 3% (including Hungarian, Czech, Slovak, and Albanian), unspecified 0.2% (2011 est.) |
| Religions: | Roman Catholic 86.3%, Orthodox 4.4%, Muslim 1.5%, other 1.5%, unspecified 2.5%, not religious or atheist 3.8% (2011 est.) |
| Age structure: | 0-14 years: 14.21% (male 312,805 /female 293,931) |
| Age structure: | 15-24 years: 11.09% (male 242,605 /female 230,853) |
| Age structure: | 25-54 years: 40.15% (male 858,025 /female 856,455) |
| Age structure: | 55-64 years: 14.65% (male 304,054 /female 321,543) |
| Age structure: | 65 years and over: 19.91% (male 342,025 /female 508,184) (2018 est.) |
| Dependency ratios: | total dependency ratio: 50.9 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 22.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 28.5 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.5 (2015 est.) |
| Median age: | total: 43.3 years (2018 est.) |
| Median age: | male: 41.4 years |
| Median age: | female: 45.3 years |
| Population growth rate: | -0.51% (2018 est.) |
| Birth rate: | 8.8 births/1,000 population (2018 est.) |
| Death rate: | 12.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -1.4 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | more of the population lives in the northern half of the country, with approximately a quarter of the populace residing in and around the capital of Zagreb; many of the islands are sparsely populated |
| Urbanization: | urban population: 57.2% of total population (2019) |
| Urbanization: | rate of urbanization: -0.08% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 685,000 ZAGREB (capital) (2019) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 28 years (2014 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 9.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 8.8 deaths/1,000 live births |
| Infant mortality rate: | female: 9.3 deaths/1,000 live births |
| Life expectancy at birth: | total population: 76.3 years (2018 est.) |
| Life expectancy at birth: | male: 73.2 years |
| Life expectancy at birth: | female: 79.6 years |
| Total fertility rate: | 1.41 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 99.6% of population |
| Drinking water source: | rural: 99.7% of population |
| Drinking water source: | total: 99.6% of population |
| Drinking water source: | unimproved: urban: 0.4% of population |
| Drinking water source: | rural: 0.3% of population |
| Drinking water source: | total: 0.4% of population (2015 est.) |
| Current Health Expenditure: | 7.2% (2016) |
| Physicians density: | 3.13 physicians/1,000 population (2016) |
| Hospital bed density: | 5.6 beds/1,000 population (2015) |
| Sanitation facility access: | improved: urban: 97.8% of population (2015 est.) |
| Sanitation facility access: | rural: 95.8% of population (2015 est.) |
| Sanitation facility access: | total: 97% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.2% of population (2015 est.) |
| Sanitation facility access: | rural: 4.2% of population (2015 est.) |
| Sanitation facility access: | total: 3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,600 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis (2016) |
| Obesity - adult prevalence rate: | 24.4% (2016) |
| Education expenditures: | 4.6% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.3% |
| Literacy: | male: 99.7% |
| Literacy: | female: 98.9% (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2016) |
| Unemployment, youth ages 15-24: | total: 27.4% |
| Unemployment, youth ages 15-24: | male: 27.1% |
| Unemployment, youth ages 15-24: | female: 27.7% (2017 est.) |
