| People | Uganda |
| --- | --- |
| Population: | 30,262,610 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 50.2% (male 7,646,619/female 7,538,137) |
| Age structure: | 15-64 years: 47.6% (male 7,231,196/female 7,185,058) |
| Age structure: | 65 years and over: 2.2% (male 281,317/female 380,283) (2007 est.) |
| Median age: | total: 14.9 years |
| Median age: | male: 14.8 years |
| Median age: | female: 15 years (2007 est.) |
| Population growth rate: | 3.572% (2007 est.) |
| Birth rate: | 48.12 births/1,000 population (2007 est.) |
| Death rate: | 12.64 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0.24 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.014 male(s)/female |
| Sex ratio: | 15-64 years: 1.006 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 1.004 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 67.22 deaths/1,000 live births |
| Infant mortality rate: | male: 70.92 deaths/1,000 live births |
| Infant mortality rate: | female: 63.42 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 51.75 years |
| Life expectancy at birth: | male: 50.78 years |
| Life expectancy at birth: | female: 52.73 years (2007 est.) |
| Total fertility rate: | 6.84 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 4.1% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 530,000 (2001 est.) |
| HIV/AIDS - deaths: | 78,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and African trypanosomiasis (sleeping sickness) are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis (2007) |
| Nationality: | noun: Ugandan(s) |
| Nationality: | adjective: Ugandan |
| Ethnic groups: | Baganda 16.9%, Banyakole 9.5%, Basoga 8.4%, Bakiga 6.9%, Iteso 6.4%, Langi 6.1%, Acholi 4.7%, Bagisu 4.6%, Lugbara 4.2%, Bunyoro 2.7%, other 29.6% (2002 census) |
| Religions: | Roman Catholic 41.9%, Protestant 42% (Anglican 35.9%, Pentecostal 4.6%, Seventh Day Adventist 1.5%), Muslim 12.1%, other 3.1%, none 0.9% (2002 census) |
| Languages: | English (official national language, taught in grade schools, used in courts of law and by most newspapers and some radio broadcasts), Ganda or Luganda (most widely used of the Niger-Congo languages, preferred for native language publications in the capital and may be taught in school), other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 66.8% |
| Literacy: | male: 76.8% |
| Literacy: | female: 57.7% (2002 census) |
