| People and Society | UGANDA |
| --- | --- |
| Nationality: | noun: Ugandan(s) |
| Nationality: | adjective: Ugandan |
| Ethnic groups: | Baganda 16.9%, Banyankole 9.5%, Basoga 8.4%, Bakiga 6.9%, Iteso 6.4%, Langi 6.1%, Acholi 4.7%, Bagisu 4.6%, Lugbara 4.2%, Bunyoro 2.7%, other 29.6% (2002 census) |
| Languages: | English (official national language, taught in grade schools, used in courts of law and by most newspapers and some radio broadcasts), Ganda or Luganda (most widely used of the Niger-Congo languages, preferred for native language publications in the capital and may be taught in school), other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic |
| Religions: | Roman Catholic 41.9%, Protestant 42% (Anglican 35.9%, Pentecostal 4.6%, Seventh-Day Adventist 1.5%), Muslim 12.1%, other 3.1%, none 0.9% (2002 census) |
| Population: | 37,101,745 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 48.47% (male 8,966,494/female 9,015,302) |
| Age structure: | 15-24 years: 21.16% (male 3,892,004/female 3,958,998) |
| Age structure: | 25-54 years: 25.91% (male 4,808,534/female 4,803,040) |
| Age structure: | 55-64 years: 2.43% (male 431,112/female 470,359) |
| Age structure: | 65 years and over: 2.04% (male 332,724/female 423,178) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 102.3% |
| population pyramid: | youth dependency ratio: 97.3% |
| population pyramid: | elderly dependency ratio: 5% |
| population pyramid: | potential support ratio: 19.9% (2015 est.) |
| Median age: | total: 15.6 years |
| Median age: | male: 15.6 years |
| Median age: | female: 15.7 years (2015 est.) |
| Population growth rate: | 3.24% (2015 est.) |
| Birth rate: | 43.79 births/1,000 population (2015 est.) |
| Death rate: | 10.69 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.74 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 16.1% of total population (2015) |
| Urbanization: | rate of urbanization: 5.43% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KAMPALA (capital) 1.936 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 59.21 deaths/1,000 live births |
| Infant mortality rate: | male: 68.39 deaths/1,000 live births |
| Infant mortality rate: | female: 49.75 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 54.93 years |
| Life expectancy at birth: | male: 53.54 years |
| Life expectancy at birth: | female: 56.36 years (2015 est.) |
| Total fertility rate: | 5.89 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 30% (2011) |
| Health expenditures: | 9.8% of GDP (2013) |
| Physicians density: | 0.12 physicians/1,000 population (2005) |
| Hospital bed density: | 0.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.5% of population |
| Drinking water source: | rural: 75.8% of population |
| Drinking water source: | total: 79% of population |
| unimproved: | urban: 4.5% of population |
| unimproved: | rural: 24.2% of population |
| unimproved: | total: 21% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 28.5% of population |
| Sanitation facility access: | rural: 17.3% of population |
| Sanitation facility access: | total: 19.1% of population |
| unimproved: | urban: 71.5% of population |
| unimproved: | rural: 82.7% of population |
| unimproved: | total: 80.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 7.25% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,486,600 (2014 est.) |
| HIV/AIDS - deaths: | 32,900 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and trypanosomiasis-Gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 3.9% (2014) |
| Children under the age of 5 years underweight: | 14.1% (2011) |
| Education expenditures: | 3.3% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 78.4% |
| Literacy: | male: 85.3% |
| Literacy: | female: 71.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2011) |
| Child labor - children ages 5-14: | total number: 117,266 |
| Child labor - children ages 5-14: | percentage: 25% |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2010 est.) |
| Unemployment, youth ages 15-24: | total: 5.4% (2009 est.) |
