| People and Society | Korea, North |
| --- | --- |
| Nationality: | noun: Korean(s) |
| Nationality: | adjective: Korean |
| Ethnic groups: | racially homogeneous; there is a small Chinese community and a few ethnic Japanese |
| Languages: | Korean |
| Religions: | traditionally Buddhist and Confucianist, some Christian and syncretic Chondogyo (Religion of the Heavenly Way) |
| Religions: | note: autonomous religious activities now almost nonexistent; government-sponsored religious groups exist to provide illusion of religious freedom |
| Population: | 24,851,627 (July 2014 est.) |
| Age structure: | 0-14 years: 21.5% (male 2,709,580/female 2,628,456) |
| Age structure: | 15-24 years: 16.3% (male 2,041,861/female 1,997,413) |
| Age structure: | 25-54 years: 44% (male 5,465,889/female 5,456,850) |
| Age structure: | 55-64 years: 8.6% (male 1,007,667/female 1,127,455) |
| Age structure: | 65 years and over: 9.5% (male 826,175/female 1,590,281) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 44.9 % |
| population pyramid: | youth dependency ratio: 31.1 % |
| population pyramid: | elderly dependency ratio: 13.8 % |
| population pyramid: | potential support ratio: 7.2 (2014 est.) |
| Median age: | total: 33.4 years |
| Median age: | male: 31.8 years |
| Median age: | female: 35 years (2014 est.) |
| Population growth rate: | 0.53% (2014 est.) |
| Birth rate: | 14.51 births/1,000 population (2014 est.) |
| Death rate: | 9.18 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.04 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 60.3% of total population (2011) |
| Urbanization: | rate of urbanization: 0.63% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PYONGYANG (capital) 2.843 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.51 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2014 est.) |
| Maternal mortality rate: | 81 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 24.5 deaths/1,000 live births |
| Infant mortality rate: | male: 27.18 deaths/1,000 live births |
| Infant mortality rate: | female: 21.68 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 69.81 years |
| Life expectancy at birth: | male: 65.96 years |
| Life expectancy at birth: | female: 73.86 years (2014 est.) |
| Total fertility rate: | 1.98 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 68.6% (2002) |
| Physicians density: | 3.29 physicians/1,000 population (2003) |
| Hospital bed density: | 13.2 beds/1,000 population (2002) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.9% of population |
| Drinking water source: | rural: 96.9% of population |
| Drinking water source: | total: 98.1% of population |
| unimproved: | urban: 1.1% of population |
| unimproved: | rural: 3.1% of population |
| unimproved: | total: 1.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87.9% of population |
| Sanitation facility access: | rural: 72.5% of population |
| Sanitation facility access: | total: 81.8% of population |
| unimproved: | urban: 12.1% of population |
| unimproved: | rural: 27.5% of population |
| unimproved: | total: 18.2% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 3.9% (2008) |
| Children under the age of 5 years underweight: | 18.8% (2009) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2008 est.) |
