| People and Society | KOSOVO |
| --- | --- |
| Population: | 1,895,250 (July 2017 est.) |
| Nationality: | noun: Kosovar (Albanian), Kosovac (Serbian) |
| Nationality: | adjective: Kosovar (Albanian), Kosovski (Serbian) |
| Nationality: | note: Kosovan, a neutral term, is sometimes also used as a noun or adjective |
| Ethnic groups: | Albanians 92.9%, Bosniaks 1.6%, Serbs 1.5%, Turk 1.1%, Ashkali 0.9%, Egyptian 0.7%, Gorani 0.6%, Romani 0.5%, other/unspecified 0.2% |
| Ethnic groups: | note: these estimates may under-represent Serb, Romani, and some other ethnic minorities because they are based on the 2011 Kosovo national census, which excluded northern Kosovo (a largely Serb-inhabited region) and was partially boycotted by Serb and Romani communities in southern Kosovo (2011 est.) |
| Languages: | Albanian (official) 94.5%, Bosnian 1.7%, Serbian (official) 1.6%, Turkish 1.1%, other 0.9% (includes Romani), unspecified 0.1% |
| Languages: | note: in municipalities where a community's mother tongue is not one of Kosovo's official languages, the language of that community may be given official status according to the 2006 Law on the Use of Languages (2011 est.) |
| Religions: | Muslim 95.6%, Roman Catholic 2.2%, Orthodox 1.5%, other 0.07%, none 0.07%, unspecified 0.6% (2011 est.) |
| Age structure: | 0-14 years: 25.01% (male 246,281/female 227,718) |
| Age structure: | 15-24 years: 17.22% (male 170,515/female 155,840) |
| Age structure: | 25-54 years: 42.57% (male 425,815/female 381,037) |
| Age structure: | 55-64 years: 7.92% (male 75,964/female 74,170) |
| Age structure: | 65 years and over: 7.28% (male 57,965/female 79,945) (2017 est.) |
| Median age: | total: 29.1 years |
| Median age: | male: 28.8 years |
| Median age: | female: 29.5 years (2017 est.) |
| Population distribution: | population clusters exist throughout the country, the largest being in the east in and around the capital of Pristina |
| Major urban areas - population: | PRISTINA (capital) 207,062 (2014) |
| Sex ratio: | at birth: 1.08 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 1.12 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2016 est.) |
| Unemployment, youth ages 15-24: | total: 57.7% |
| Unemployment, youth ages 15-24: | male: 54.2% |
| Unemployment, youth ages 15-24: | female: 67.2% (2015 est.) |
