| People and Society | Kosovo |
| --- | --- |
| Population: | 1,907,592 (July 2018 est.) |
| Nationality: | noun: Kosovar (Albanian), Kosovac (Serbian) |
| Nationality: | adjective: Kosovar (Albanian), Kosovski (Serbian) |
| Nationality: | note: Kosovan, a neutral term, is sometimes also used as a noun or adjective |
| Ethnic groups: | Albanians 92.9%, Bosniaks 1.6%, Serbs 1.5%, Turk 1.1%, Ashkali 0.9%, Egyptian 0.7%, Gorani 0.6%, Romani 0.5%, other/unspecified 0.2% (2011 est.) |
| Ethnic groups: | note: these estimates may under-represent Serb, Romani, and some other ethnic minorities because they are based on the 2011 Kosovo national census, which excluded northern Kosovo (a largely Serb-inhabited region) and was partially boycotted by Serb and Romani communities in southern Kosovo |
| Languages: | Albanian (official) 94.5%, Bosnian 1.7%, Serbian (official) 1.6%, Turkish 1.1%, other 0.9% (includes Romani), unspecified 0.1% (2011 est.) |
| Languages: | note: in municipalities where a community's mother tongue is not one of Kosovo's official languages, the language of that community may be given official status according to the 2006 Law on the Use of Languages |
| Religions: | Muslim 95.6%, Roman Catholic 2.2%, Orthodox 1.5%, other 0.07%, none 0.07%, unspecified 0.6% (2011 est.) |
| Age structure: | 0-14 years: 24.74% (male 245,188 /female 226,766) |
| Age structure: | 15-24 years: 17.12% (male 170,448 /female 156,199) |
| Age structure: | 25-54 years: 42.52% (male 428,030 /female 383,045) |
| Age structure: | 55-64 years: 8.19% (male 79,415 /female 76,743) |
| Age structure: | 65 years and over: 7.43% (male 59,830 /female 81,928) (2018 est.) |
| Median age: | total: 29.6 years |
| Median age: | male: 29.3 years |
| Median age: | female: 29.9 years (2018 est.) |
| Population distribution: | population clusters exist throughout the country, the largest being in the east in and around the capital of Pristina |
| Major urban areas - population: | 207,062 PRISTINA (capital) (2014) |
| Sex ratio: | at birth: 1.08 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.08 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.1 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.12 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.72 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.06 male(s)/female (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| Unemployment, youth ages 15-24: | total: 52.4% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 47.3% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 65.4% (2016 est.) |
