| People and Society | Hungary |
| --- | --- |
| Nationality: | noun: Hungarian(s) |
| Nationality: | adjective: Hungarian |
| Ethnic groups: | Hungarian 92.3%, Roma 1.9%, other or unknown 5.8% (2001 census) |
| Languages: | Hungarian 84.6%, other or unspecified 16.4% (2011 est.) |
| Religions: | Roman Catholic 37.2%, Calvinist 11.6%, Lutheran 2.2%, Greek Catholic 1.8%, other 1.9%, none 18.2%, unspecified 27.2% (2011 est.) |
| Population: | 9,919,128 (July 2014 est.) |
| Age structure: | 0-14 years: 14.8% (male 757,868/female 712,908) |
| Age structure: | 15-24 years: 11.7% (male 596,005/female 561,606) |
| Age structure: | 25-54 years: 41.6% (male 2,071,845/female 2,056,611) |
| Age structure: | 55-64 years: 14% (male 639,298/female 754,129) |
| Age structure: | 65 years and over: 17.5% (male 661,256/female 1,107,602) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 47.4 % |
| population pyramid: | youth dependency ratio: 21.7 % |
| population pyramid: | elderly dependency ratio: 25.6 % |
| population pyramid: | potential support ratio: 3.9 (2014 est.) |
| Median age: | total: 41.1 years |
| Median age: | male: 39.1 years |
| Median age: | female: 43.5 years (2014 est.) |
| Population growth rate: | -0.21% (2014 est.) |
| Birth rate: | 9.26 births/1,000 population (2014 est.) |
| Death rate: | 12.72 deaths/1,000 population (2014 est.) |
| Net migration rate: | 1.34 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 69.5% of total population (2011) |
| Urbanization: | rate of urbanization: 0.51% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BUDAPEST (capital) 1.737 million (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.59 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 28.3 (2011 est.) |
| Maternal mortality rate: | 21 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 5.09 deaths/1,000 live births |
| Infant mortality rate: | male: 5.36 deaths/1,000 live births |
| Infant mortality rate: | female: 4.81 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 75.46 years |
| Life expectancy at birth: | male: 71.73 years |
| Life expectancy at birth: | female: 79.41 years (2014 est.) |
| Total fertility rate: | 1.42 children born/woman (2014 est.) |
| Health expenditures: | 7.7% of GDP (2011) |
| Physicians density: | 3.41 physicians/1,000 population (2010) |
| Hospital bed density: | 7.2 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis (2013) |
| Obesity - adult prevalence rate: | 27.6% (2008) |
| Education expenditures: | 4.9% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99.2% |
| Literacy: | female: 98.9% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2011) |
| Unemployment, youth ages 15-24: | total: 28.1% |
| Unemployment, youth ages 15-24: | male: 28.8% |
| Unemployment, youth ages 15-24: | female: 27.3% (2012) |
