| People and Society | Hungary |
| --- | --- |
| Population: | 9,771,827 (July 2020 est.) |
| Nationality: | noun: Hungarian(s) |
| Nationality: | adjective: Hungarian |
| Ethnic groups: | Hungarian 85.6%, Romani 3.2%, German 1.9%, other 2.6%, unspecified 14.1% (2011 est.) |
| Ethnic groups: | note: percentages add up to more than 100% because respondents were able to identify more than one ethnic group; Romani populations are usually underestimated in official statistics and may represent 5â€“10% of Hungary's population |
| Languages: | Hungarian (official) 99.6%, English 16%, German 11.2%, Russian 1.6%, Romanian 1.3%, French 1.2%, other 4.2% (2011 est.) |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census; Hungarian is the mother tongue of 98.9% of Hungarian speakers |
| Religions: | Roman Catholic 37.2%, Calvinist 11.6%, Lutheran 2.2%, Greek Catholic 1.8%, other 1.9%, none 18.2%, no response 27.2% (2011 est.) |
| Age structure: | 0-14 years: 14.54% (male 731,542/female 689,739) |
| Age structure: | 15-24 years: 10.43% (male 526,933/female 492,388) |
| Age structure: | 25-54 years: 42.17% (male 2,075,763/female 2,044,664) |
| Age structure: | 55-64 years: 12.17% (male 552,876/female 636,107) |
| Age structure: | 65 years and over: 20.69% (male 773,157/female 1,248,658) (2020 est.) |
| Dependency ratios: | total dependency ratio: 46.9 |
| Dependency ratios: | youth dependency ratio: 22 |
| Dependency ratios: | elderly dependency ratio: 30.8 |
| Dependency ratios: | potential support ratio: 3.2 (2020 est.) |
| Median age: | total: 43.6 years |
| Median age: | male: 41.5 years |
| Median age: | female: 45.5 years (2020 est.) |
| Population growth rate: | -0.28% (2020 est.) |
| Birth rate: | 8.8 births/1,000 population (2020 est.) |
| Death rate: | 12.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | 1.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 71.9% of total population (2020) |
| Urbanization: | rate of urbanization: 0.07% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.768 million BUDAPEST (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 28.6 years (2017 est.) |
| Maternal mortality rate: | 12 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 4.7 deaths/1,000 live births |
| Infant mortality rate: | male: 5 deaths/1,000 live births |
| Infant mortality rate: | female: 4.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 76.7 years |
| Life expectancy at birth: | male: 73 years |
| Life expectancy at birth: | female: 80.6 years (2020 est.) |
| Total fertility rate: | 1.47 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 6.9% (2017) |
| Physicians density: | 3.34 physicians/1,000 population (2017) |
| Hospital bed density: | 7 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,700 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis (2016) |
| Obesity - adult prevalence rate: | 26.4% (2016) |
| Education expenditures: | 4.7% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.1% |
| Literacy: | male: 99.1% |
| Literacy: | female: 99% (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2018) |
| Unemployment, youth ages 15-24: | total: 10.2% |
| Unemployment, youth ages 15-24: | male: 9.8% |
| Unemployment, youth ages 15-24: | female: 10.7% (2018 est.) |
