| People and Society | Hong Kong |
| --- | --- |
| Population: | 7,249,907 (July 2020 est.) |
| Nationality: | noun: Chinese/Hong Konger |
| Nationality: | adjective: Chinese/Hong Kong |
| Ethnic groups: | Chinese 92%, Filipino 2.5%, Indonesian 2.1%, other 3.4% (2016 est.) |
| Languages: | Cantonese (official) 88.9%, English (official) 4.3%, Mandarin (official) 1.9%, other Chinese dialects 3.1%, other 1.9% (2016 est.) |
| Religions: | Buddhist or Taoist 27.9%, Protestant 6.7%, Roman Catholic 5.3%, Muslim 4.2%, Hindu 1.4%, Sikh 0.2%, other or none 54.3% (2016 est.) |
| Religions: | note: many people practice Confucianism, regardless of their religion or not having a religious affiliation |
| Age structure: | 0-14 years: 12.81% (male 490,477/female 437,971) |
| Age structure: | 15-24 years: 8.81% (male 334,836/female 303,897) |
| Age structure: | 25-54 years: 42.66% (male 1,328,529/female 1,763,970) |
| Age structure: | 55-64 years: 17.24% (male 582,047/female 668,051) |
| Age structure: | 65 years and over: 18.48% (male 625,453/female 714,676) (2020 est.) |
| Dependency ratios: | total dependency ratio: 44.7 |
| Dependency ratios: | youth dependency ratio: 18.3 |
| Dependency ratios: | elderly dependency ratio: 26.3 |
| Dependency ratios: | potential support ratio: 3.8 (2020 est.) |
| Median age: | total: 45.6 years |
| Median age: | male: 44.2 years |
| Median age: | female: 46.5 years (2020 est.) |
| Population growth rate: | 0.24% (2020 est.) |
| Birth rate: | 8.4 births/1,000 population (2020 est.) |
| Death rate: | 7.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | 1.7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population fairly evenly distributed |
| Urbanization: | urban population: 100% of total population (2020) |
| Urbanization: | rate of urbanization: 0.82% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 7.548 million Hong Kong (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.12 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 0.75 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.86 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 29.8 years (2008 est.) |
| Infant mortality rate: | total: 2.7 deaths/1,000 live births |
| Infant mortality rate: | male: 2.9 deaths/1,000 live births |
| Infant mortality rate: | female: 2.5 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 83.2 years |
| Life expectancy at birth: | male: 80.5 years |
| Life expectancy at birth: | female: 86.1 years (2020 est.) |
| Total fertility rate: | 1.21 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 66.7% (2017) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: -1% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Physicians density: | 1.96 physicians/1,000 population (2018) |
| Hospital bed density: | 5.4 beds/1,000 population (2018) |
| Sanitation facility access: | improved: urban: 96.4% of population |
| Sanitation facility access: | total: 96.4% of population |
| Sanitation facility access: | unimproved: urban: 3.6% of population |
| Sanitation facility access: | total: 3.6% of population (2017) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 3.8% of GDP (2019) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2019) |
| Unemployment, youth ages 15-24: | total: 8.7% |
| Unemployment, youth ages 15-24: | male: 9.3% |
| Unemployment, youth ages 15-24: | female: 8.2% (2017 est.) |
