| People and Society | Rwanda |
| --- | --- |
| Population: | 12,187,400 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Rwandan(s) |
| Nationality: | adjective: Rwandan |
| Ethnic groups: | Hutu, Tutsi, Twa (Pygmy) |
| Languages: | Kinyarwanda (official, universal Bantu vernacular) 93.2%, French (official) (2002 est.) |
| Religions: | Protestant 49.5% (includes Adventist 11.8% and other Protestant 37.7%), Roman Catholic 43.7%, Muslim 2%, other 0.9% (includes Jehovah's Witness), none 2.5%, unspecified 1.3% (2012 est.) |
| Demographic profile: | Rwandaâ€™s fertility rate declined sharply during the last decade, as a result of the governmentâ€™s commitment to family planning, the increased use of contraceptives, and a downward trend in ideal family size. Increases in educational attainment, particularly among girls, and exposure to social media also contributed to the reduction in the birth rate. The average number of births per woman decreased from a 5.6 in 2005 to 4.5 in 2016. Despite these significant strides in reducing fertility, Rwandaâ€™s birth rate remains very high and will continue to for an extended period of time because of its large population entering reproductive age. Because Rwanda is one of the most densely populated countries in Africa, its persistent high population growth and increasingly small agricultural landholdings will put additional strain on familiesâ€™ ability to raise foodstuffs and access potable water. These conditions will also hinder the governmentâ€™s efforts to reduce poverty and prevent environmental degradation. |
| Demographic profile: | The UNHCR recommended that effective 30 June 2013 countries invoke a cessation of refugee status for those Rwandans who fled their homeland between 1959 and 1998, including the 1994 genocide, on the grounds that the conditions that drove them to seek protection abroad no longer exist. The UNHCRâ€™s decision is controversial because many Rwandan refugees still fear persecution if they return home, concerns that are supported by the number of Rwandans granted asylum since 1998 and by the number exempted from the cessation. Rwandan refugees can still seek an exemption or local integration, but host countries are anxious to send the refugees back to Rwanda and are likely to avoid options that enable them to stay. Conversely, Rwanda itself hosts almost 160,000 refugees as of 2017; virtually all of them fleeing conflict in neighboring Burundi and the Democratic Republic of the Congo. |
| Age structure: | 0-14 years: 40.98% (male 2,521,169 /female 2,473,055) |
| Age structure: | 15-24 years: 19.45% (male 1,187,249 /female 1,183,278) |
| Age structure: | 25-54 years: 32.93% (male 1,903,087 /female 2,109,839) |
| Age structure: | 55-64 years: 4.15% (male 225,273 /female 280,545) |
| Age structure: | 65 years and over: 2.49% (male 120,952 /female 182,953) (2018 est.) |
| Dependency ratios: | total dependency ratio: 77.3 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 72.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5 (2015 est.) |
| Dependency ratios: | potential support ratio: 20.1 (2015 est.) |
| Median age: | total: 19.2 years |
