| People and Society | MOLDOVA |
| --- | --- |
| Population: | 3,474,121 (July 2017 est.) |
| Nationality: | noun: Moldovan(s) |
| Nationality: | adjective: Moldovan |
| Ethnic groups: | Moldovan 75.1%, Romanian 7%, Ukrainian 6.6%, Gagauz 4.6%, Russian 4.1%, Bulgarian 1.9%, other 0.8% (2014 est.) |
| Languages: | Romanian 80.2% (official) (56.7% identify their mother tongue as Moldovan, which is virtually the same as Romanian; 23.5% identify Romanian as their mother tongue), Russian 9.7%, Gagauz 4.2% (a Turkish language), Ukrainian 3.9%, Bulgarian 1.5%, Romani 0.3%, other 0.2% (2014 est.) |
| Languages: | note: data represent mother tongue |
| Religions: | Orthodox 90.1%, other Christian 2.6%, other 0.1%, agnostic <.1%, atheist 0.2%, unspecified 6.9% (2014 est.) |
| Age structure: | 0-14 years: 18.18% (male 325,501/female 305,931) |
| Age structure: | 15-24 years: 12.32% (male 221,582/female 206,458) |
| Age structure: | 25-54 years: 43.4% (male 760,511/female 747,352) |
| Age structure: | 55-64 years: 13.46% (male 214,565/female 252,924) |
| Age structure: | 65 years and over: 12.64% (male 171,347/female 267,950) (2017 est.) |
| Dependency ratios: | total dependency ratio: 34.5 |
| Dependency ratios: | youth dependency ratio: 21.2 |
| Dependency ratios: | elderly dependency ratio: 13.4 |
| Dependency ratios: | potential support ratio: 7.5 (2015 est.) |
| Median age: | total: 36.7 years |
| Median age: | male: 34.9 years |
| Median age: | female: 38.6 years (2017 est.) |
| Population growth rate: | -1.05% (2017 est.) |
| Birth rate: | 11.5 births/1,000 population (2017 est.) |
| Death rate: | 12.6 deaths/1,000 population (2017 est.) |
| Net migration rate: | -9.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | pockets of agglomeration exist throughout the country, the largest being in the center of the country around the capital of Chisinau, followed by Tiraspol and Balti |
| Urbanization: | urban population: 45.2% of total population (2017) |
| Urbanization: | rate of urbanization: -0.36% annual rate of change (2015-20 est.) |
| Major urban areas - population: | CHISINAU (capital) 725,000 (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 24 years (2014 est.) |
| Maternal mortality rate: | 23 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12 deaths/1,000 live births |
| Infant mortality rate: | male: 13.7 deaths/1,000 live births |
| Infant mortality rate: | female: 10.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 71 years |
| Life expectancy at birth: | male: 67.1 years |
| Life expectancy at birth: | female: 75.1 years (2017 est.) |
| Total fertility rate: | 1.57 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 59.5% (2012) |
| Health expenditures: | 10.3% of GDP (2014) |
| Physicians density: | 2.54 physicians/1,000 population (2014) |
| Hospital bed density: | 6.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.9% of population |
| Drinking water source: | rural: 81.4% of population |
| Drinking water source: | total: 88.4% of population |
| unimproved: | urban: 3.1% of population |
| unimproved: | rural: 18.6% of population |
| unimproved: | total: 11.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87.8% of population |
| Sanitation facility access: | rural: 67.1% of population |
| Sanitation facility access: | total: 76.4% of population |
| unimproved: | urban: 12.2% of population |
| unimproved: | rural: 32.9% of population |
| unimproved: | total: 23.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 15,000 (2016 est.) |
| HIV/AIDS - deaths: | <500 (2016 est.) |
| Obesity - adult prevalence rate: | 18.9% (2016) |
| Children under the age of 5 years underweight: | 2.2% (2012) |
| Education expenditures: | 7.5% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.4% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2015) |
| Unemployment, youth ages 15-24: | total: 12.8% |
| Unemployment, youth ages 15-24: | male: 12.4% |
| Unemployment, youth ages 15-24: | female: 13.5% (2015 est.) |
