| People and Society | ZIMBABWE |
| --- | --- |
| Nationality: | noun: Zimbabwean(s) |
| Nationality: | adjective: Zimbabwean |
| Ethnic groups: | African 99.4% (predominantly Shona; Ndebele is the second largest ethnic group), other 0.4%, unspecified 0.2% (2012 est.) |
| Languages: | Shona (official; most widely spoken), Ndebele (official, second most widely spoken), English (official; traditionally used for official business), 13 minority languages (official; includes Chewa, Chibarwe, Kalanga, Koisan, Nambya, Ndau, Shangani, sign language, Sotho, Tonga, Tswana, Venda, and Xhosa) |
| Religions: | Protestant 75.9% (includes Apostolic 38%, Pentecostal 21.1%, other 16.8%), Roman Catholic 8.4%, other Christian 8.4%, other 1.2% (includes traditional, Muslim), none 6.1% (2011 est.) |
| Population: | 14,229,541 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 37.88% (male 2,723,586/female 2,666,624) |
| Age structure: | 15-24 years: 21.65% (male 1,550,518/female 1,530,737) |
| Age structure: | 25-54 years: 33.4% (male 2,485,086/female 2,267,125) |
| Age structure: | 55-64 years: 3.57% (male 184,517/female 324,079) |
| Age structure: | 65 years and over: 3.49% (male 193,928/female 303,341) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 80.4% |
| population pyramid: | youth dependency ratio: 75% |
| population pyramid: | elderly dependency ratio: 5.3% |
| population pyramid: | potential support ratio: 18.7% (2015 est.) |
| Median age: | total: 20.35 years |
| Median age: | male: 20.4 years |
| Median age: | female: 20.7 years (2015 est.) |
| Population growth rate: | 2.21% (2015 est.) |
| Birth rate: | 32.26 births/1,000 population (2015 est.) |
| Death rate: | 10.13 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2015 est.) |
| Urbanization: | urban population: 32.4% of total population (2015) |
| Urbanization: | rate of urbanization: 2.3% annual rate of change (2010-15 est.) |
| Major urban areas - population: | HARARE (capital) 1.501 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 0.57 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 26.11 deaths/1,000 live births |
| Infant mortality rate: | male: 28.4 deaths/1,000 live births |
| Infant mortality rate: | female: 23.76 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 57.05 years |
| Life expectancy at birth: | male: 56.54 years |
| Life expectancy at birth: | female: 57.57 years (2015 est.) |
| Total fertility rate: | 3.53 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 58.5% (2010/11) |
| Physicians density: | 0.08 physicians/1,000 population (2011) |
| Hospital bed density: | 1.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 67.3% of population |
| Drinking water source: | total: 76.9% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 32.7% of population |
| unimproved: | total: 23.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 49.3% of population |
| Sanitation facility access: | rural: 30.8% of population |
| Sanitation facility access: | total: 36.8% of population |
| unimproved: | urban: 50.7% of population |
| unimproved: | rural: 69.2% of population |
| unimproved: | total: 63.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 16.74% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,550,300 (2014 est.) |
| HIV/AIDS - deaths: | 38,600 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 8.4% (2014) |
| Children under the age of 5 years underweight: | 11.2% (2014) |
| Education expenditures: | 2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 86.5% |
| Literacy: | male: 88.5% |
| Literacy: | female: 84.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2012) |
| Unemployment, youth ages 15-24: | total: 7.6% |
| Unemployment, youth ages 15-24: | male: 7.6% |
| Unemployment, youth ages 15-24: | female: 7.6% (2004 est.) |
