| People and Society | Sweden |
| --- | --- |
| Population: | 10,040,995 (July 2018 est.) |
| Nationality: | noun: Swede(s) |
| Nationality: | adjective: Swedish |
| Ethnic groups: | Swedish 81.5%, Syrian 1.7%, Finnish 1.5%, Iraqi 1.4%, other 13.9% |
| Ethnic groups: | (2017 est.) |
| Ethnic groups: | note: data represent the population by country of birth; the indigenous Sami people are estimated to number between 20,000 and 40,000 |
| Languages: | Swedish (official) |
| Languages: | note: Finnish, Sami, Romani, Yiddish, and Meankieli are official minority languages |
| Religions: | Church of Sweden (Lutheran) 61.8%, other (includes Roman Catholic, Orthodox, Baptist, Muslim, Jewish, and Buddhist) 8.2%, none or unspecified 30% (2016 est.) |
| Religions: | note: estimates reflect registered members of faith communities eligible for state funding (not all religions are state-funded and not all people who identify with a particular religion are registered members); an estimated 60.2% of Sweden's population were members of the Church of Sweden in 2017 |
| Age structure: | 0-14 years: 17.54% (male 904,957 /female 855,946) |
| Age structure: | 15-24 years: 11.06% (male 573,595 /female 537,358) |
| Age structure: | 25-54 years: 39.37% (male 2,005,422 /female 1,947,245) |
| Age structure: | 55-64 years: 11.67% (male 588,314 /female 583,002) |
| Age structure: | 65 years and over: 20.37% (male 946,170 /female 1,098,986) (2018 est.) |
| Dependency ratios: | total dependency ratio: 58.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 27.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 31.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.2 (2015 est.) |
| Median age: | total: 41.1 years |
| Median age: | male: 40.1 years |
| Median age: | female: 42.2 years (2018 est.) |
| Population growth rate: | 0.8% (2018 est.) |
| Birth rate: | 12.1 births/1,000 population (2018 est.) |
| Death rate: | 9.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | 5.3 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most Swedes live in the south where the climate is milder and there is better connectivity to mainland Europe; population clusters are found all along the Baltic coast in the east; the interior areas of the north remain sparsely populated |
| Urbanization: | urban population: 87.4% of total population (2018) |
| Urbanization: | rate of urbanization: 1.05% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.583 million STOCKHOLM (capital) (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.85 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 29.1 years (2015 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 2.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 2.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 2.3 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 82.2 years (2018 est.) |
| Life expectancy at birth: | male: 80.3 years (2018 est.) |
| Life expectancy at birth: | female: 84.3 years (2018 est.) |
| Total fertility rate: | 1.87 children born/woman (2018 est.) |
| Health expenditures: | 11.9% of GDP (2014) |
| Physicians density: | 4.19 physicians/1,000 population (2014) |
| Hospital bed density: | 2.4 beds/1,000 population (2015) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 99.3% of population (2015 est.) |
| Sanitation facility access: | rural: 99.6% of population (2015 est.) |
| Sanitation facility access: | total: 99.3% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0.7% of population (2015 est.) |
| Sanitation facility access: | rural: 0.4% of population (2015 est.) |
| Sanitation facility access: | total: 0.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,000 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 20.6% (2016) |
| Education expenditures: | 7.7% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 18 years (2014) |
| School life expectancy (primary to tertiary education): | male: 17 years (2014) |
| School life expectancy (primary to tertiary education): | female: 20 years (2014) |
| Unemployment, youth ages 15-24: | total: 17.9% (2017 est.) |
| Unemployment, youth ages 15-24: | male: 18.8% (2017 est.) |
| Unemployment, youth ages 15-24: | female: 17% (2017 est.) |
