| People and Society | Sweden |
| --- | --- |
| Nationality: | noun: Swede(s) |
| Nationality: | adjective: Swedish |
| Ethnic groups: | indigenous population: Swedes with Finnish and Sami minorities; foreign-born or first-generation immigrants: Finns, Yugoslavs, Danes, Norwegians, Greeks, Turks |
| Languages: | Swedish (official), small Sami- and Finnish-speaking minorities |
| Religions: | Lutheran 87%, other (includes Roman Catholic, Orthodox, Baptist, Muslim, Jewish, and Buddhist) 13% |
| Population: | 9,723,809 (July 2014 est.) |
| Age structure: | 0-14 years: 16.9% (male 847,611/female 800,213) |
| Age structure: | 15-24 years: 12.3% (male 617,054/female 582,755) |
| Age structure: | 25-54 years: 39.2% (male 1,937,091/female 1,872,070) |
| Age structure: | 55-64 years: 11.7% (male 571,079/female 568,093) |
| Age structure: | 65 years and over: 20.5% (male 882,653/female 1,045,190) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 58.3 % |
| population pyramid: | youth dependency ratio: 27.1 % |
| population pyramid: | elderly dependency ratio: 31.1 % |
| population pyramid: | potential support ratio: 3.2 (2014 est.) |
| Median age: | total: 41.2 years |
| Median age: | male: 40.2 years |
| Median age: | female: 42.2 years (2014 est.) |
| Population growth rate: | 0.79% (2014 est.) |
| Birth rate: | 11.92 births/1,000 population (2014 est.) |
| Death rate: | 9.45 deaths/1,000 population (2014 est.) |
| Net migration rate: | 5.46 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 85.2% of total population (2011) |
| Urbanization: | rate of urbanization: 0.74% annual rate of change (2010-15 est.) |
| Major urban areas - population: | STOCKHOLM (capital) 1.385 million (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 28.9 (2010 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 2.6 deaths/1,000 live births |
| Infant mortality rate: | male: 2.88 deaths/1,000 live births |
| Infant mortality rate: | female: 2.3 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 81.89 years |
| Life expectancy at birth: | male: 80.03 years |
| Life expectancy at birth: | female: 83.87 years (2014 est.) |
| Total fertility rate: | 1.88 children born/woman (2014 est.) |
| Health expenditures: | 9.4% of GDP (2011) |
| Physicians density: | 3.8 physicians/1,000 population (2010) |
| Hospital bed density: | 2.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,100 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 18.6% (2008) |
| Education expenditures: | 7% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2011) |
| Unemployment, youth ages 15-24: | total: 23.7% |
| Unemployment, youth ages 15-24: | male: 25% |
| Unemployment, youth ages 15-24: | female: 22.3% (2012) |
