| People and Society | Sweden |
| --- | --- |
| Population: | 10,202,491 (July 2020 est.) |
| Nationality: | noun: Swede(s) |
| Nationality: | adjective: Swedish |
| Ethnic groups: | Swedish 80.9%, Syrian 1.8%, Finnish 1.4%, Iraqi 1.4%, other 14.5% |
| Ethnic groups: | (2018 est.) |
| Ethnic groups: | note: data represent the population by country of birth; the indigenous Sami people are estimated to number between 20,000 and 40,000 |
| Languages: | Swedish (official) |
| Languages: | note: Finnish, Sami, Romani, Yiddish, and Meankieli are official minority languages |
| Religions: | Church of Sweden (Lutheran) 60.2%, other (includes Roman Catholic, Orthodox, Baptist, Muslim, Jewish, and Buddhist) 8.5%, none or unspecified 31.3% (2017 est.) |
| Religions: | note: estimates reflect registered members of faith communities eligible for state funding (not all religions are state-funded and not all people who identify with a particular religion are registered members); an estimated 57.7% of Sweden's population were members of the Church of Sweden in 2018 |
| Age structure: | 0-14 years: 17.71% (male 928,413/female 878,028) |
| Age structure: | 15-24 years: 10.8% (male 569,082/female 532,492) |
| Age structure: | 25-54 years: 39.01% (male 2,016,991/female 1,962,617) |
| Age structure: | 55-64 years: 11.9% (male 610,521/female 603,795) |
| Age structure: | 65 years and over: 20.59% (male 974,410/female 1,126,142) (2020 est.) |
| Dependency ratios: | total dependency ratio: 61.2 |
| Dependency ratios: | youth dependency ratio: 28.4 |
| Dependency ratios: | elderly dependency ratio: 32.8 |
| Dependency ratios: | potential support ratio: 3.1 (2020 est.) |
| Median age: | total: 41.1 years |
| Median age: | male: 40.1 years |
| Median age: | female: 42.1 years (2020 est.) |
| Population growth rate: | 0.79% (2020 est.) |
| Birth rate: | 12.1 births/1,000 population (2020 est.) |
| Death rate: | 9.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | 5.2 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most Swedes live in the south where the climate is milder and there is better connectivity to mainland Europe; population clusters are found all along the Baltic coast in the east; the interior areas of the north remain sparsely populated |
| Urbanization: | urban population: 88% of total population (2020) |
| Urbanization: | rate of urbanization: 1.05% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.633 million STOCKHOLM (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 29.3 years (2015 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 2.6 deaths/1,000 live births |
| Infant mortality rate: | male: 2.9 deaths/1,000 live births |
| Infant mortality rate: | female: 2.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 82.4 years |
| Life expectancy at birth: | male: 80.4 years |
| Life expectancy at birth: | female: 84.5 years (2020 est.) |
| Total fertility rate: | 1.87 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 11% (2017) |
| Physicians density: | 3.98 physicians/1,000 population (2016) |
| Hospital bed density: | 2.2 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,000 (2016 est.) |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 20.6% (2016) |
| Education expenditures: | 7.6% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 20 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 21 years (2018) |
| Unemployment, youth ages 15-24: | total: 16.8% |
| Unemployment, youth ages 15-24: | male: 18% |
| Unemployment, youth ages 15-24: | female: 15.5% (2018 est.) |
