| People and Society | MALI |
| --- | --- |
| Nationality: | noun: Malian(s) |
| Nationality: | adjective: Malian |
| Ethnic groups: | Mande 50% (Bambara, Malinke, Soninke), Peul 17%, Voltaic 12%, Songhai 6%, Tuareg and Moor 10%, other 5% |
| Languages: | French (official), Bambara 46.3%, Peul/foulfoulbe 9.4%, Dogon 7.2%, Maraka/soninke 6.4%, Malinke 5.6%, Sonrhai/djerma 5.6%, Minianka 4.3%, Tamacheq 3.5%, Senoufo 2.6%, unspecified 0.6%, other 8.5% |
| Languages: | note: Mali has 13 national languages in addition to its official language |
| Religions: | Muslim 94.8%, Christian 2.4%, Animist 2%, none 0.5%, unspecified 0.3% (2009 Census) |
| Population: | 16,955,536 (July 2015 est.) |
| Age structure: | 0-14 years: 47.44% (male 4,038,801/female 4,005,256) |
| Age structure: | 15-24 years: 19.09% (male 1,543,751/female 1,693,410) |
| Age structure: | 25-54 years: 26.75% (male 2,106,889/female 2,428,643) |
| Age structure: | 55-64 years: 3.75% (male 317,513/female 317,957) |
| Age structure: | 65 years and over: 2.97% (male 251,693/female 251,623) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 100.2% |
| population pyramid: | youth dependency ratio: 95.1% |
| population pyramid: | elderly dependency ratio: 5% |
| population pyramid: | potential support ratio: 19.8% (2015 est.) |
| Median age: | total: 16.1 years |
| Median age: | male: 15.5 years |
| Median age: | female: 16.8 years (2015 est.) |
| Population growth rate: | 2.98% (2015 est.) |
| Birth rate: | 44.99 births/1,000 population (2015 est.) |
| Death rate: | 12.89 deaths/1,000 population (2015 est.) |
| Net migration rate: | -2.26 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 39.9% of total population (2015) |
| Urbanization: | rate of urbanization: 5.08% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BAMAKO (capital) 2.515 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.91 male(s)/female |
| Sex ratio: | 25-54 years: 0.87 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 102.23 deaths/1,000 live births |
| Infant mortality rate: | male: 108.88 deaths/1,000 live births |
| Infant mortality rate: | female: 95.37 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 55.34 years |
| Life expectancy at birth: | male: 53.48 years |
| Life expectancy at birth: | female: 57.25 years (2015 est.) |
| Total fertility rate: | 6.06 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 10.3% (2012/13) |
| Health expenditures: | 7.1% of GDP (2013) |
| Physicians density: | 0.08 physicians/1,000 population (2010) |
| Hospital bed density: | 0.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.5% of population |
| Drinking water source: | rural: 64.1% of population |
| Drinking water source: | total: 77% of population |
| unimproved: | urban: 3.5% of population |
| unimproved: | rural: 35.9% of population |
| unimproved: | total: 23% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 37.5% of population |
| Sanitation facility access: | rural: 16.1% of population |
| Sanitation facility access: | total: 24.7% of population |
| unimproved: | urban: 62.5% of population |
| unimproved: | rural: 83.9% of population |
| unimproved: | total: 75.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.42% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 133,400 (2014 est.) |
| HIV/AIDS - deaths: | 5,300 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 5.7% (2014) |
| Children under the age of 5 years underweight: | 27.9% (2006) |
| Education expenditures: | 4.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 38.7% |
| Literacy: | male: 48.2% |
| Literacy: | female: 29.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2011) |
| Child labor - children ages 5-14: | total number: 1,485,027 |
| Child labor - children ages 5-14: | percentage: 36% (2010 est.) |
