| People | Mali |
| --- | --- |
| Population: | 11,995,402 (July 2007 est.) |
| Age structure: | 0-14 years: 48.2% (male 2,921,914/female 2,853,976) |
| Age structure: | 15-64 years: 48.8% (male 2,891,494/female 2,959,142) |
| Age structure: | 65 years and over: 3.1% (male 149,301/female 219,575) (2007 est.) |
| Median age: | total: 15.9 years |
| Median age: | male: 15.4 years |
| Median age: | female: 16.3 years (2007 est.) |
| Population growth rate: | 2.681% (2007 est.) |
| Birth rate: | 49.61 births/1,000 population (2007 est.) |
| Death rate: | 16.51 deaths/1,000 population (2007 est.) |
| Net migration rate: | -6.28 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.024 male(s)/female |
| Sex ratio: | 15-64 years: 0.977 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.988 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 105.65 deaths/1,000 live births |
| Infant mortality rate: | male: 115.29 deaths/1,000 live births |
| Infant mortality rate: | female: 95.72 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 49.51 years |
| Life expectancy at birth: | male: 47.6 years |
| Life expectancy at birth: | female: 51.46 years (2007 est.) |
| Total fertility rate: | 7.38 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 1.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 140,000 (2003 est.) |
| HIV/AIDS - deaths: | 12,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria is a high risk in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2007) |
| Nationality: | noun: Malian(s) |
| Nationality: | adjective: Malian |
| Ethnic groups: | Mande 50% (Bambara, Malinke, Soninke), Peul 17%, Voltaic 12%, Songhai 6%, Tuareg and Moor 10%, other 5% |
| Religions: | Muslim 90%, Christian 1%, indigenous beliefs 9% |
| Languages: | French (official), Bambara 80%, numerous African languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 46.4% |
| Literacy: | male: 53.5% |
| Literacy: | female: 39.6% (2003 est.) |
