| People | Mali |
| --- | --- |
| Population: | 12,666,987 (July 2009 est.) |
| Age structure: | 0-14 years: 48.3% (male 3,089,406/female 3,023,341) |
| Age structure: | 15-64 years: 48.7% (male 3,065,167/female 3,101,914) |
| Age structure: | 65 years and over: 3.1% (male 151,718/female 235,441) (2009 est.) |
| Median age: | total: 15.8 years |
| Median age: | male: 15.5 years |
| Median age: | female: 16.2 years (2009 est.) |
| Population growth rate: | 2.765% (2009 est.) |
| Birth rate: | 49.15 births/1,000 population (2009 est.) |
| Death rate: | 15.82 deaths/1,000 population (July 2009 est.) |
| Net migration rate: | -5.67 migrant(s)/1,000 population (2009 est.) |
| Urbanization: | urban population: 32% of total population (2008) |
| Urbanization: | rate of urbanization: 4.8% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2009 est.) |
| Infant mortality rate: | total: 102.05 deaths/1,000 live births |
| Infant mortality rate: | male: 111.56 deaths/1,000 live births |
| Infant mortality rate: | female: 92.26 deaths/1,000 live births (2009 est.) |
| Life expectancy at birth: | total population: 50.35 years |
| Life expectancy at birth: | male: 48.38 years |
| Life expectancy at birth: | female: 52.38 years (2009 est.) |
| Total fertility rate: | 7.29 children born/woman (2009 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 100,000 (2007 est.) |
| HIV/AIDS - deaths: | 5,800 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2009) |
| Nationality: | noun: Malian(s) |
| Nationality: | adjective: Malian |
| Ethnic groups: | Mande 50% (Bambara, Malinke, Soninke), Peul 17%, Voltaic 12%, Songhai 6%, Tuareg and Moor 10%, other 5% |
| Religions: | Muslim 90%, Christian 1%, indigenous beliefs 9% |
| Languages: | French (official), Bambara 80%, numerous African languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 46.4% |
| Literacy: | male: 53.5% |
| Literacy: | female: 39.6% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2005) |
| Education expenditures: | 4.5% of GDP (2006) |
