| People | Mali |
| --- | --- |
| Population: | 12,324,029 (July 2008 est.) |
| Age structure: | 0-14 years: 48.2% (male 3,004,003/female 2,937,138) |
| Age structure: | 15-64 years: 48.7% (male 2,976,314/female 3,028,433) |
| Age structure: | 65 years and over: 3.1% (male 150,597/female 227,544) (2008 est.) |
| Median age: | total: 15.8 years |
| Median age: | male: 15.4 years |
| Median age: | female: 16.2 years (2008 est.) |
| Population growth rate: | 2.725% (2008 est.) |
| Birth rate: | 49.38 births/1,000 population (2008 est.) |
| Death rate: | 16.16 deaths/1,000 population (2008 est.) |
| Net migration rate: | -5.97 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 103.83 deaths/1,000 live births |
| Infant mortality rate: | male: 113.41 deaths/1,000 live births |
| Infant mortality rate: | female: 93.97 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 49.94 years |
| Life expectancy at birth: | male: 48 years |
| Life expectancy at birth: | female: 51.94 years (2008 est.) |
| Total fertility rate: | 7.34 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 1.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 140,000 (2003 est.) |
| HIV/AIDS - deaths: | 12,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2008) |
| Nationality: | noun: Malian(s) |
| Nationality: | adjective: Malian |
| Ethnic groups: | Mande 50% (Bambara, Malinke, Soninke), Peul 17%, Voltaic 12%, Songhai 6%, Tuareg and Moor 10%, other 5% |
| Religions: | Muslim 90%, Christian 1%, indigenous beliefs 9% |
| Languages: | French (official), Bambara 80%, numerous African languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 46.4% |
| Literacy: | male: 53.5% |
| Literacy: | female: 39.6% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2005) |
| Education expenditures: | 4.5% of GDP (2006) |
