| People and Society | MALI |
| --- | --- |
| Population: | 17,885,245 (July 2017 est.) |
| Nationality: | noun: Malian(s) |
| Nationality: | adjective: Malian |
| Ethnic groups: | Bambara 34.1%, Fulani (Peul) 14.7%, Sarakole 10.8%, Senufo 10.5%, Dogon 8.9%, Malinke 8.7%, Bobo 2.9%, Songhai 1.6%, Tuareg 0.9%, other Malian 6.1%, from member of Economic Community of West African States 0.3%, other 0.4% (2012-13 est.) |
| Languages: | French (official), Bambara 46.3%, Peul/Foulfoulbe 9.4%, Dogon 7.2%, Maraka/Soninke 6.4%, Malinke 5.6%, Sonrhai/Djerma 5.6%, Minianka 4.3%, Tamacheq 3.5%, Senoufo 2.6%, Bobo 2.1%, unspecified 0.7%, other 6.3% |
| Languages: | note: Mali has 13 national languages in addition to its official language (2009 est.) |
| Religions: | Muslim 94.8%, Christian 2.4%, Animist 2%, none 0.5%, unspecified 0.3% (2009 est.) |
| Demographic profile: | Mali’s total population is expected to double by 2035; its capital Bamako is one of the fastest-growing cities in Africa. A young age structure, a declining mortality rate, and a sustained high total fertility rate of 6 children per woman – the third highest in the world – ensure continued rapid population growth for the foreseeable future. Significant outmigration only marginally tempers this growth. Despite decreases, Mali’s infant, child, and maternal mortality rates remain among the highest in sub-Saharan Africa because of limited access to and adoption of family planning, early childbearing, short birth intervals, the prevalence of female genital cutting, infrequent use of skilled birth attendants, and a lack of emergency obstetrical and neonatal care. |
| Demographic profile: | Mali’s high total fertility rate has been virtually unchanged for decades, as a result of the ongoing preference for large families, early childbearing, the lack of female education and empowerment, poverty, and extremely low contraceptive use. Slowing Mali’s population growth by lowering its birth rate will be essential for poverty reduction, improving food security, and developing human capital and the economy. |
| Demographic profile: | Mali has a long history of seasonal migration and emigration driven by poverty, conflict, demographic pressure, unemployment, food insecurity, and droughts. Many Malians from rural areas migrate during the dry period to nearby villages and towns to do odd jobs or to adjoining countries to work in agriculture or mining. Pastoralists and nomads move seasonally to southern Mali or nearby coastal states. Others migrate long term to Mali’s urban areas, Cote d’Ivoire, other neighboring countries, and in smaller numbers to France, Mali’s former colonial ruler. Since the early 1990s, Mali’s role has grown as a transit country for regional migration flows and illegal migration to Europe. Human smugglers and traffickers exploit the same regional routes used for moving contraband drugs, arms, and cigarettes. |
| Demographic profile: | Between early 2012 and 2013, renewed fighting in northern Mali between government forces and Tuareg secessionists and their Islamist allies, a French-led international military intervention, as well as chronic food shortages, caused the displacement of hundreds of thousands of Malians. Most of those displaced domestically sought shelter in urban areas of southern Mali, except for pastoralist and nomadic groups, who abandoned their traditional routes, gave away or sold their livestock, and dispersed into the deserts of northern Mali or crossed into neighboring countries. Almost all Malians who took refuge abroad (mostly Tuareg and Maure pastoralists) stayed in the region, largely in Mauritania, Niger, and Burkina Faso. |
| Age structure: | 0-14 years: 48.17% (male 4,330,370/female 4,285,171) |
| Age structure: | 15-24 years: 18.84% (male 1,604,914/female 1,765,479) |
| Age structure: | 25-54 years: 26.26% (male 2,171,171/female 2,525,109) |
| Age structure: | 55-64 years: 3.7% (male 335,023/female 326,910) |
| Age structure: | 65 years and over: 3.03% (male 270,856/female 270,242) (2017 est.) |
| Dependency ratios: | total dependency ratio: 101.9 |
| Dependency ratios: | youth dependency ratio: 96.8 |
| Dependency ratios: | elderly dependency ratio: 5.1 |
| Dependency ratios: | potential support ratio: 19.5 (2015 est.) |
| Median age: | total: 15.8 years |
| Median age: | male: 15.1 years |
| Median age: | female: 16.4 years (2017 est.) |
| Population growth rate: | 3.02% (2017 est.) |
| Birth rate: | 43.9 births/1,000 population (2017 est.) |
| Death rate: | 9.8 deaths/1,000 population (2017 est.) |
| Net migration rate: | -3.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the overwhelming majority of the population lives in the southern half of the country, with greater density along the border with Burkina Faso |
| Urbanization: | urban population: 41.4% of total population (2017) |
| Urbanization: | rate of urbanization: 4.97% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BAMAKO (capital) 2.515 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.91 male(s)/female |
| Sex ratio: | 25-54 years: 0.87 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 18.8 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012/13 est.) |
| Maternal mortality rate: | 587 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 69.5 deaths/1,000 live births |
| Infant mortality rate: | male: 75.3 deaths/1,000 live births |
| Infant mortality rate: | female: 63.5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 60.3 years |
| Life expectancy at birth: | male: 58.2 years |
| Life expectancy at birth: | female: 62.5 years (2017 est.) |
| Total fertility rate: | 6.01 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 15.6% (2015) |
| Health expenditures: | 6.9% of GDP (2014) |
| Physicians density: | 0.09 physicians/1,000 population (2010) |
| Hospital bed density: | 0.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.5% of population |
| Drinking water source: | rural: 64.1% of population |
| Drinking water source: | total: 77% of population |
| unimproved: | urban: 3.5% of population |
| unimproved: | rural: 35.9% of population |
| unimproved: | total: 23% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 37.5% of population |
| Sanitation facility access: | rural: 16.1% of population |
| Sanitation facility access: | total: 24.7% of population |
| unimproved: | urban: 62.5% of population |
| unimproved: | rural: 83.9% of population |
| unimproved: | total: 75.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2016 est.) |
| HIV/AIDS - deaths: | 6,100 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 8.6% (2016) |
| Education expenditures: | 3.6% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 33.1% |
| Literacy: | male: 45.1% |
| Literacy: | female: 22.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
