| People and Society | Wallis and Futuna |
| --- | --- |
| Population: | 15,854 (July 2020 est.) |
| Nationality: | noun: Wallisian(s), Futunan(s), or Wallis and Futuna Islanders |
| Nationality: | adjective: Wallisian, Futunan, or Wallis and Futuna Islander |
| Ethnic groups: | Polynesian |
| Languages: | Wallisian (indigenous Polynesian language) 58.9%, Futunian 30.1%, French (official) 10.8%, other 0.2% (2003 census) |
| Religions: | Roman Catholic 99%, other 1% |
| Age structure: | 0-14 years: 20.58% (male 1,702/female 1,561) |
| Age structure: | 15-24 years: 14.72% (male 1,238/female 1,095) |
| Age structure: | 25-54 years: 43.55% (male 3,529/female 3,376) |
| Age structure: | 55-64 years: 9.92% (male 742/female 830) |
| Age structure: | 65 years and over: 11.23% (male 856/female 925) (2020 est.) |
| Median age: | total: 34 years |
| Median age: | male: 33.1 years |
| Median age: | female: 35.1 years (2020 est.) |
| Population growth rate: | 0.28% (2020 est.) |
| Birth rate: | 12.7 births/1,000 population (2020 est.) |
| Death rate: | 5.7 deaths/1,000 population (2020 est.) |
| Net migration rate: | -4.3 migrant(s)/1,000 population (2020 est.) |
| Net migration rate: | note: there has been steady emigration from Wallis and Futuna to New Caledonia |
| Urbanization: | urban population: 0% of total population (2020) |
| Urbanization: | rate of urbanization: 0% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1,000 MATA-UTU (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.13 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 4.2 deaths/1,000 live births |
| Infant mortality rate: | male: 4.4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 80.2 years |
| Life expectancy at birth: | male: 77.2 years |
| Life expectancy at birth: | female: 83.4 years (2020 est.) |
| Total fertility rate: | 1.71 children born/woman (2020 est.) |
| Drinking water source: | improved: rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: rural: 0% of population |
| Drinking water source: | total: 0% of population (2017) |
| Sanitation facility access: | improved: rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: malaria |
| Education expenditures: | NA |
