| People and Society | Wallis and Futuna |
| --- | --- |
| Nationality: | noun: Wallisian(s), Futunan(s), or Wallis and Futuna Islanders |
| Nationality: | adjective: Wallisian, Futunan, or Wallis and Futuna Islander |
| Ethnic groups: | Polynesian |
| Languages: | Wallisian (indigenous Polynesian language) 58.9%, Futunian 30.1%, French (official) 10.8%, other 0.2% (2003 census) |
| Religions: | Roman Catholic 99%, other 1% |
| Population: | 15,561 (July 2014 est.) |
| Age structure: | 0-14 years: 23.4% (male 1,902/female 1,741) |
| Age structure: | 15-24 years: 17.8% (male 1,449/female 1,320) |
| Age structure: | 25-54 years: 40.7% (male 3,147/female 3,183) |
| Age structure: | 55-64 years: 9.2% (male 719/female 709) |
| Age structure: | 65 years and over: 8.6% (male 663/female 728) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 30.3 years |
| population pyramid: | male: 29.3 years |
| population pyramid: | female: 31.5 years (2014 est.) |
| Population growth rate: | 0.33% (2014 est.) |
| Birth rate: | 13.56 births/1,000 population (2014 est.) |
| Death rate: | 4.95 deaths/1,000 population (2014 est.) |
| Net migration rate: | -5.27 migrant(s)/1,000 population |
| Net migration rate: | note: there has been steady emigration from Wallis and Futuna to New Caledonia (2014 est.) |
| Major urban areas - population: | MATA-UTU (capital) 1,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 4.49 deaths/1,000 live births |
| Infant mortality rate: | male: 4.72 deaths/1,000 live births |
| Infant mortality rate: | female: 4.24 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 79.42 years |
| Life expectancy at birth: | male: 76.43 years |
| Life expectancy at birth: | female: 82.55 years (2014 est.) |
| Total fertility rate: | 1.76 children born/woman (2014 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population (2008 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 50% |
| Literacy: | male: 50% |
| Literacy: | female: 50% (1969 est.) |
