| People and Society | WALLIS AND FUTUNA |
| --- | --- |
| Nationality: | noun: Wallisian(s), Futunan(s), or Wallis and Futuna Islanders |
| Nationality: | adjective: Wallisian, Futunan, or Wallis and Futuna Islander |
| Ethnic groups: | Polynesian |
| Languages: | Wallisian (indigenous Polynesian language) 58.9%, Futunian 30.1%, French (official) 10.8%, other 0.2% (2003 census) |
| Religions: | Roman Catholic 99%, other 1% |
| Population: | 15,613 (July 2015 est.) |
| Age structure: | 0-14 years: 22.71% (male 1,850/female 1,695) |
| Age structure: | 15-24 years: 17.41% (male 1,426/female 1,292) |
| Age structure: | 25-54 years: 41.11% (male 3,210/female 3,208) |
| Age structure: | 55-64 years: 9.45% (male 731/female 744) |
| Age structure: | 65 years and over: 9.33% (male 697/female 760) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 30.9 years |
| population pyramid: | male: 30 years |
| population pyramid: | female: 32.2 years (2015 est.) |
| Population growth rate: | 0.33% (2015 est.) |
| Birth rate: | 13.45 births/1,000 population (2015 est.) |
| Death rate: | 5.06 deaths/1,000 population (2015 est.) |
| Net migration rate: | -5.06 migrant(s)/1,000 population |
| Net migration rate: | note: there has been steady emigration from Wallis and Futuna to New Caledonia (2015 est.) |
| Urbanization: | urban population: 0% of total population (2015) |
| Urbanization: | rate of urbanization: 0% annual rate of change (2005-10 est.) |
| Major urban areas - population: | MATA-UTU (capital) 1,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 4.43 deaths/1,000 live births |
| Infant mortality rate: | male: 4.66 deaths/1,000 live births |
| Infant mortality rate: | female: 4.18 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 79.57 years |
| Life expectancy at birth: | male: 76.58 years |
| Life expectancy at birth: | female: 82.7 years (2015 est.) |
| Total fertility rate: | 1.75 children born/woman (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population (2008 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
