| People and Society | Mozambique |
| --- | --- |
| Population: | 27,233,789 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Mozambican(s) |
| Nationality: | adjective: Mozambican |
| Ethnic groups: | African 99.66% (Makhuwa, Tsonga, Lomwe, Sena, and others), Europeans 0.06%, Euro-Africans 0.2%, Indians 0.08% |
| Languages: | Emakhuwa 25.3%, Portuguese (official) 10.7%, Xichangana 10.3%, Cisena 7.5%, Elomwe 7%, Echuwabo 5.1%, other Mozambican languages 30.1%, other 0.3%, unspecified 3.7% (2007 est.) |
| Religions: | Roman Catholic 30.3%, Muslim 19.2%, Protestant 19.2%, Zionist Christian 10.6%, Evangelical/Pentecostal 9.3% (includes Anglican), other 1.4%, none 9.3% (2015 est.) |
| Demographic profile: | Mozambique is a poor, sparsely populated country with high fertility and mortality rates and a rapidly growing youthful population â€“ 45% of the population is younger than 15. Mozambiqueâ€™s high poverty rate is sustained by natural disasters, disease, high population growth, low agricultural productivity, and the unequal distribution of wealth. The countryâ€™s birth rate is among the worldâ€™s highest, averaging around more than 5 children per woman (and higher in rural areas) for at least the last three decades. The sustained high level of fertility reflects gender inequality, low contraceptive use, early marriages and childbearing, and a lack of education, particularly among women. The high population growth rate is somewhat restrained by the countryâ€™s high HIV/AIDS and overall mortality rates. Mozambique ranks among the worst in the world for HIV/AIDS prevalence, HIV/AIDS deaths, and life expectancy at birth. |
| Demographic profile: | Mozambique is predominantly a country of emigration, but internal, rural-urban migration has begun to grow. Mozambicans, primarily from the countryâ€™s southern region, have been migrating to South Africa for work for more than a century. Additionally, approximately 1.7 million Mozambicans fled to Malawi, South Africa, and other neighboring countries between 1979 and 1992 to escape from civil war. Labor migrants have usually been men from rural areas whose crops have failed or who are unemployed and have headed to South Africa to work as miners; multiple generations of the same family often become miners. Since the abolition of apartheid in South Africa in 1991, other job opportunities have opened to Mozambicans, including in the informal and manufacturing sectors, but mining remains their main source of employment. |
| Age structure: | 0-14 years: 44.52% (male 6,097,116 /female 6,028,416) |
| Age structure: | 15-24 years: 21.6% (male 2,905,254 /female 2,977,732) |
| Age structure: | 25-54 years: 27.62% (male 3,525,755 /female 3,995,264) |
| Age structure: | 55-64 years: 3.37% (male 442,990 /female 475,900) |
| Age structure: | 65 years and over: 2.88% (male 359,624 /female 425,738) (2018 est.) |
| Dependency ratios: | total dependency ratio: 93.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 87.5 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 16.5 (2015 est.) |
| Median age: | total: 17.3 years |
| Median age: | male: 16.7 years |
| Median age: | female: 17.8 years (2018 est.) |
| Population growth rate: | 2.46% (2018 est.) |
| Birth rate: | 37.8 births/1,000 population (2018 est.) |
| Death rate: | 11.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | three large populations clusters are found along the southern coast between Maputo and Inhambane, in the central area between Beira and Chimoio along the Zambezi River, and in and around the northern cities of Nampula, Cidade de Nacala, and Pemba; the northwest and southwest are the least populated areas |
