| People and Society | MOZAMBIQUE |
| --- | --- |
| Nationality: | noun: Mozambican(s) |
| Nationality: | adjective: Mozambican |
| Ethnic groups: | African 99.66% (Makhuwa, Tsonga, Lomwe, Sena, and others), Europeans 0.06%, Euro-Africans 0.2%, Indians 0.08% |
| Languages: | Emakhuwa 25.3%, Portuguese (official) 10.7%, Xichangana 10.3%, Cisena 7.5%, Elomwe 7%, Echuwabo 5.1%, other Mozambican languages 30.1%, other 4% (1997 census) |
| Religions: | Roman Catholic 28.4%, Muslim 17.9%, Zionist Christian 15.5%, Protestant 12.2% (includes Pentecostal 10.9% and Anglican 1.3%), other 6.7%, none 18.7%, unspecified 0.7% (2007 est.) |
| Population: | 25,303,113 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 45.13% (male 5,740,743/female 5,677,563) |
| Age structure: | 15-24 years: 21.43% (male 2,657,099/female 2,764,109) |
| Age structure: | 25-54 years: 27.09% (male 3,201,321/female 3,654,012) |
| Age structure: | 55-64 years: 3.44% (male 415,357/female 455,450) |
| Age structure: | 65 years and over: 2.91% (male 338,552/female 398,907) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 94.8% |
| population pyramid: | youth dependency ratio: 88.2% |
| population pyramid: | elderly dependency ratio: 6.5% |
| population pyramid: | potential support ratio: 15.3% (2015 est.) |
| Median age: | total: 17 years |
| Median age: | male: 16.4 years |
| Median age: | female: 17.6 years (2015 est.) |
| Population growth rate: | 2.45% (2015 est.) |
| Birth rate: | 38.58 births/1,000 population (2015 est.) |
| Death rate: | 12.1 deaths/1,000 population (2015 est.) |
| Net migration rate: | -1.98 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 32.2% of total population (2015) |
| Urbanization: | rate of urbanization: 3.27% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MAPUTO (capital) 1.187 million; Matola 937,000 (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 70.21 deaths/1,000 live births |
| Infant mortality rate: | male: 72.29 deaths/1,000 live births |
| Infant mortality rate: | female: 68.09 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 52.94 years |
| Life expectancy at birth: | male: 52.18 years |
| Life expectancy at birth: | female: 53.72 years (2015 est.) |
| Total fertility rate: | 5.21 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 11.6% (2011) |
| Health expenditures: | 6.8% of GDP (2013) |
| Physicians density: | 0.04 physicians/1,000 population (2012) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 80.6% of population |
| Drinking water source: | rural: 37% of population |
| Drinking water source: | total: 51.1% of population |
| unimproved: | urban: 19.4% of population |
| unimproved: | rural: 63% of population |
| unimproved: | total: 48.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 42.4% of population |
| Sanitation facility access: | rural: 10.1% of population |
| Sanitation facility access: | total: 20.5% of population |
| unimproved: | urban: 57.6% of population |
| unimproved: | rural: 89.9% of population |
| unimproved: | total: 79.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 10.58% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.543 million (2014 est.) |
| HIV/AIDS - deaths: | 44,900 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.5% (2014) |
| Children under the age of 5 years underweight: | 15.6% (2011) |
| Education expenditures: | 5% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 58.8% |
| Literacy: | male: 73.3% |
| Literacy: | female: 45.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2013) |
| Child labor - children ages 5-14: | total number: 1,369,080 |
| Child labor - children ages 5-14: | percentage: 22% (2008 est.) |
