| People and Society | Australia |
| --- | --- |
| Population: | 23,470,145 (July 2018 est.) |
| Nationality: | noun: Australian(s) |
| Nationality: | adjective: Australian |
| Ethnic groups: | English 25.9%, Australian 25.4%, Irish 7.5%, Scottish 6.4%, Italian 3.3%, German 3.2%, Chinese 3.1%, Indian 1.4%, Greek 1.4%, Dutch 1.2%, other 15.8% (includes Australian aboriginal .5%), unspecified 5.4% (2011 est.) |
| Ethnic groups: | note: data represent self-identified ancestry, over a third of respondents reported two ancestries |
| Languages: | English 72.7%, Mandarin 2.5%, Arabic 1.4%, Cantonese 1.2%, Vietnamese 1.2%, Italian 1.2%, Greek 1%, other 14.8%, unspecified 6.5% (2016 est.) |
| Languages: | note: data represent language spoken at home |
| Religions: | Protestant 23.1% (Anglican 13.3%, Uniting Church 3.7%, Presbyterian and Reformed 2.3%, Baptist 1.5%, Pentecostal 1.1%, Lutheran .7%, other Protestant .5%), Roman Catholic 22.6%, other Christian 4.2%, Muslim 2.6%, Buddhist 2.4%, Orthodox 2.3% (Eastern Orthodox 2.1%, Oriental Orthodox .2%), Hindu 1.9%, other 1.3%, none 30.1%, unspecified 9.6% (2016 est.) |
| Age structure: | 0-14 years: 17.75% (male 2,138,080 /female 2,027,583) |
| Age structure: | 15-24 years: 12.62% (male 1,520,528 /female 1,442,461) |
| Age structure: | 25-54 years: 41.35% (male 4,944,587 /female 4,760,752) |
| Age structure: | 55-64 years: 11.84% (male 1,379,681 /female 1,398,177) |
| Age structure: | 65 years and over: 16.44% (male 1,786,595 /female 2,071,701) (2018 est.) |
| Dependency ratios: | total dependency ratio: 51.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 28.5 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 22.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 4.4 (2015 est.) |
| Median age: | total: 38.8 years (2018 est.) |
| Median age: | male: 38.1 years |
| Median age: | female: 39.7 years |
| Population growth rate: | 1.01% (2018 est.) |
| Birth rate: | 12 births/1,000 population (2018 est.) |
| Death rate: | 7.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | 5.4 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | population is primarily located on the periphery, with the highest concentration of people residing in the east and southeast; a secondary population center is located in and around Perth in the west; of the States and Territories, New South Wales has, by far, the largest population; the interior, or "outback", has a very sparse population |
| Urbanization: | urban population: 86.1% of total population (2019) |
| Urbanization: | rate of urbanization: 1.43% annual rate of change (2015-20 est.) |
| Urbanization: | note: data include Christmas Island, Cocos Islands, and Norfolk Island |
| Major urban areas - population: | 4.870 million Melbourne, 4.859 million Sydney, 2.372 million Brisbane, 2.016 million Perth, 1.328 million Adelaide, 452,000 CANBERRA (capital) (2019) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 28.7 years (2014 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 4.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 4.5 deaths/1,000 live births |
| Infant mortality rate: | female: 3.9 deaths/1,000 live births |
| Life expectancy at birth: | total population: 82.4 years (2018 est.) |
| Life expectancy at birth: | male: 79.9 years |
| Life expectancy at birth: | female: 85 years |
| Total fertility rate: | 1.77 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 66.9% (2015/16) |
| Contraceptive prevalence rate: | note: percent of women aged 18-45 |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Current Health Expenditure: | 9.3% (2016) |
| Physicians density: | 3.59 physicians/1,000 population (2016) |
| Hospital bed density: | 3.8 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 28,000 (2018 est.) |
| HIV/AIDS - deaths: | <200 (2018 est.) |
| Obesity - adult prevalence rate: | 29% (2016) |
| Education expenditures: | 5.3% of GDP (2016) |
| School life expectancy (primary to tertiary education): | total: 23 years |
| School life expectancy (primary to tertiary education): | male: 23 years |
| School life expectancy (primary to tertiary education): | female: 23 years (2016) |
| Unemployment, youth ages 15-24: | total: 12.6% |
| Unemployment, youth ages 15-24: | male: 13.6% |
| Unemployment, youth ages 15-24: | female: 11.5% (2017 est.) |
