| People and Society | Australia |
| --- | --- |
| Population: | 25,466,459 (July 2020 est.) |
| Nationality: | noun: Australian(s) |
| Nationality: | adjective: Australian |
| Ethnic groups: | English 25.9%, Australian 25.4%, Irish 7.5%, Scottish 6.4%, Italian 3.3%, German 3.2%, Chinese 3.1%, Indian 1.4%, Greek 1.4%, Dutch 1.2%, other 15.8% (includes Australian aboriginal .5%), unspecified 5.4% (2011 est.) |
| Ethnic groups: | note: data represent self-identified ancestry, over a third of respondents reported two ancestries |
| Languages: | English 72.7%, Mandarin 2.5%, Arabic 1.4%, Cantonese 1.2%, Vietnamese 1.2%, Italian 1.2%, Greek 1%, other 14.8%, unspecified 6.5% (2016 est.) |
| Languages: | note: data represent language spoken at home |
| Religions: | Protestant 23.1% (Anglican 13.3%, Uniting Church 3.7%, Presbyterian and Reformed 2.3%, Baptist 1.5%, Pentecostal 1.1%, Lutheran .7%, other Protestant .5%), Roman Catholic 22.6%, other Christian 4.2%, Muslim 2.6%, Buddhist 2.4%, Orthodox 2.3% (Eastern Orthodox 2.1%, Oriental Orthodox .2%), Hindu 1.9%, other 1.3%, none 30.1%, unspecified 9.6% (2016 est.) |
| Age structure: | 0-14 years: 18.72% (male 2,457,418/female 2,309,706) |
| Age structure: | 15-24 years: 12.89% (male 1,710,253/female 1,572,794) |
| Age structure: | 25-54 years: 41.15% (male 5,224,840/female 5,255,041) |
| Age structure: | 55-64 years: 11.35% (male 1,395,844/female 1,495,806) |
| Age structure: | 65 years and over: 15.88% (male 1,866,761/female 2,177,996) (2020 est.) |
| Dependency ratios: | total dependency ratio: 55.1 |
| Dependency ratios: | youth dependency ratio: 29.9 |
| Dependency ratios: | elderly dependency ratio: 25.1 |
| Dependency ratios: | potential support ratio: 4 (2020 est.) |
| Median age: | total: 37.5 years |
| Median age: | male: 36.5 years |
| Median age: | female: 38.5 years (2020 est.) |
| Population growth rate: | 1.4% (2020 est.) |
| Birth rate: | 12.4 births/1,000 population (2020 est.) |
| Death rate: | 6.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | 8.1 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population is primarily located on the periphery, with the highest concentration of people residing in the east and southeast; a secondary population center is located in and around Perth in the west; of the States and Territories, New South Wales has, by far, the largest population; the interior, or "outback", has a very sparse population |
| Urbanization: | urban population: 86.2% of total population (2020) |
| Urbanization: | rate of urbanization: 1.43% annual rate of change (2015-20 est.) |
| Urbanization: | note: data include Christmas Island, Cocos Islands, and Norfolk Island |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 4.968 million Melbourne, 4.926 million Sydney, 2.406 million Brisbane, 2.042 million Perth, 1.336 million Adelaide, 457,000 CANBERRA (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 28.7 years (2014 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.1 deaths/1,000 live births |
| Infant mortality rate: | male: 3.3 deaths/1,000 live births |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 82.7 years |
| Life expectancy at birth: | male: 80.5 years |
| Life expectancy at birth: | female: 85 years (2020 est.) |
| Total fertility rate: | 1.74 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 66.9% (2015/16) |
| Contraceptive prevalence rate: | note: percent of women aged 18-45 |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 9.2% (2017) |
| Physicians density: | 3.68 physicians/1,000 population (2017) |
| Hospital bed density: | 3.8 beds/1,000 population (2016) |
| Sanitation facility access: | improved: total: 100% of population |
| Sanitation facility access: | unimproved: total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 29,000 (2019 est.) |
| HIV/AIDS - deaths: | <100 (201 est.) |
| Obesity - adult prevalence rate: | 29% (2016) |
| Education expenditures: | 5.1% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 21 years |
| School life expectancy (primary to tertiary education): | male: 20 years |
| School life expectancy (primary to tertiary education): | female: 21 years (2018) |
| Unemployment, youth ages 15-24: | total: 11.8% |
| Unemployment, youth ages 15-24: | male: 112.8% |
| Unemployment, youth ages 15-24: | female: 10.7% (2018 est.) |
