| People and Society | Hong Kong |
| --- | --- |
| Nationality: | noun: Chinese/Hong Konger |
| Nationality: | adjective: Chinese/Hong Kong |
| Ethnic groups: | Chinese 93.6%, Filipino 1.9%, Indonesian 1.9%, other 2.6% (2011 census) |
| Languages: | Cantonese (official) 89.5%, English (official) 3.5%, Putonghua (Mandarin) 1.4%, other Chinese dialects 4%, other 1.6% (2011 census) |
| Religions: | eclectic mixture of local religions 90%, Christian 10% |
| Population: | 7,182,724 (July 2013 est.) |
| Age structure: | 0-14 years: 11.3% (male 425,289/female 389,622) |
| Age structure: | 15-24 years: 10.7% (male 398,475/female 372,250) |
| Age structure: | 25-54 years: 48.4% (male 1,627,699/female 1,848,730) |
| Age structure: | 55-64 years: 15.1% (male 538,854/female 547,690) |
| Age structure: | 65 years and over: 14.4% (male 486,043/female 548,072) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 34.6 % |
| population pyramid: | youth dependency ratio: 15.8 % |
| population pyramid: | elderly dependency ratio: 18.9 % |
| population pyramid: | potential support ratio: 5.3 (2013) |
| Median age: | total: 44.5 years |
| Median age: | male: 43.8 years |
| Median age: | female: 45 years (2013 est.) |
| Population growth rate: | 0.39% (2013 est.) |
| Birth rate: | 7.58 births/1,000 population (2013 est.) |
| Death rate: | 7.39 deaths/1,000 population (2013 est.) |
| Net migration rate: | 3.75 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 100% of total population (2011) |
| Urbanization: | rate of urbanization: 1.04% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 29.8 (2008 est.) |
| Infant mortality rate: | total: 2.89 deaths/1,000 live births |
| Infant mortality rate: | male: 3.06 deaths/1,000 live births |
| Infant mortality rate: | female: 2.7 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 82.2 years |
| Life expectancy at birth: | male: 79.47 years |
| Life expectancy at birth: | female: 85.14 years (2013 est.) |
| Total fertility rate: | 1.11 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 79.5% (2007) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,600 (2003 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2003 est.) |
| Education expenditures: | 3.4% of GDP (2011) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 93.5% |
| Literacy: | male: 96.9% |
| Literacy: | female: 89.6% (2002) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2011) |
| Unemployment, youth ages 15-24: | total: 9.4% |
| Unemployment, youth ages 15-24: | male: 11% |
| Unemployment, youth ages 15-24: | female: 7.9% (2011) |
