| People and Society | BURMA |
| --- | --- |
| Population: | 56,890,418 |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Burmese (singular and plural) |
| Nationality: | adjective: Burmese |
| Ethnic groups: | Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5% |
| Languages: | Burmese (official) |
| Languages: | note: minority ethnic groups have their own languages |
| Religions: | Buddhist 87.9%, Christian 6.2%, Muslim 4.3%, Animist 0.8%, Hindu 0.5%, other 0.2%, none 0.1% |
| Religions: | note: religion estimate is based on the 2014 national census, including an estimate for the non-enumerated population of Rakhine State, which is assumed to mainly affiliate with the Islamic faith (2014 est.) |
| Age structure: | 0-14 years: 25.77% (male 7,476,436/female 7,183,049) |
| Age structure: | 15-24 years: 17.73% (male 5,109,120/female 4,978,572) |
| Age structure: | 25-54 years: 43.54% (male 12,326,900/female 12,442,398) |
| Age structure: | 55-64 years: 7.49% (male 2,003,593/female 2,256,146) |
| Age structure: | 65 years and over: 5.47% (male 1,353,723/female 1,760,481) (2016 est.) |
| Dependency ratios: | total dependency ratio: 49.1% |
| Dependency ratios: | youth dependency ratio: 41.1% |
| Dependency ratios: | elderly dependency ratio: 8% |
| Dependency ratios: | potential support ratio: 12.5% (2015 est.) |
| Median age: | total: 28.6 years |
| Median age: | male: 28 years |
| Median age: | female: 29.3 years (2016 est.) |
| Population growth rate: | 1% (2016 est.) |
| Birth rate: | 18.2 births/1,000 population (2016 est.) |
| Death rate: | 7.9 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 34.1% of total population (2015) |
| Urbanization: | rate of urbanization: 2.49% annual rate of change (2010-15 est.) |
| Major urban areas - population: | RANGOON (Yangon) (capital) 4.802 million; Mandalay 1.167 million; Nay Pyi Taw 1.03 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.8 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2007 est.) |
| Maternal mortality rate: | 178 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 42.2 deaths/1,000 live births |
| Infant mortality rate: | male: 48.3 deaths/1,000 live births |
| Infant mortality rate: | female: 35.7 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 66.6 years |
| Life expectancy at birth: | male: 64.2 years |
| Life expectancy at birth: | female: 69.2 years (2016 est.) |
| Total fertility rate: | 2.15 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 46% (2009/10) |
| Health expenditures: | 2.3% of GDP (2014) |
| Physicians density: | 0.61 physicians/1,000 population (2012) |
| Hospital bed density: | 0.6 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92.7% of population |
| Drinking water source: | rural: 74.4% of population |
| Drinking water source: | total: 80.6% of population |
| unimproved: | urban: 7.3% of population |
| unimproved: | rural: 25.6% of population |
| unimproved: | total: 19.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 84.3% of population |
| Sanitation facility access: | rural: 73.9% of population |
| Sanitation facility access: | total: 77.4% of population |
| unimproved: | urban: 15.7% of population |
| unimproved: | rural: 26.1% of population |
| unimproved: | total: 22.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.76% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 224,800 (2015 est.) |
| HIV/AIDS - deaths: | 9,700 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 2.9% (2014) |
| Children under the age of 5 years underweight: | 22.6% (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.1% |
| Literacy: | male: 95.2% |
| Literacy: | female: 91.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2007) |
