| People | Burma |
| --- | --- |
| Population: | 48,137,741 |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2009 est.) |
| Age structure: | 0-14 years: 25.3% (male 6,193,263/female 5,990,658) |
| Age structure: | 15-64 years: 69.3% (male 16,510,648/female 16,828,462) |
| Age structure: | 65 years and over: 5.4% (male 1,121,412/female 1,493,298) (2009 est.) |
| Median age: | total: 28.2 years |
| Median age: | male: 27.7 years |
| Median age: | female: 28.8 years (2009 est.) |
| Population growth rate: | 0.783% (2009 est.) |
| Birth rate: | 16.97 births/1,000 population (2009 est.) |
| Death rate: | 9.14 deaths/1,000 population (July 2009 est.) |
| Net migration rate: | NA |
| Urbanization: | urban population: 33% of total population (2008) |
| Urbanization: | rate of urbanization: 2.9% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.03 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2009 est.) |
| Infant mortality rate: | total: 47.61 deaths/1,000 live births |
| Infant mortality rate: | male: 53.78 deaths/1,000 live births |
| Infant mortality rate: | female: 41.07 deaths/1,000 live births (2009 est.) |
| Life expectancy at birth: | total population: 63.39 years |
| Life expectancy at birth: | male: 61.17 years |
| Life expectancy at birth: | female: 65.74 years (2009 est.) |
| Total fertility rate: | 1.89 children born/woman (2009 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 240,000 (2007 est.) |
| HIV/AIDS - deaths: | 25,000 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Burmese (singular and plural) |
| Nationality: | adjective: Burmese |
| Ethnic groups: | Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5% |
| Religions: | Buddhist 89%, Christian 4% (Baptist 3%, Roman Catholic 1%), Muslim 4%, animist 1%, other 2% |
| Languages: | Burmese, minority ethnic groups have their own languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89.9% |
| Literacy: | male: 93.9% |
| Literacy: | female: 86.4% (2006 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2001) |
| Education expenditures: | 1.2% of GDP (2001) |
