| People and Society | Uzbekistan |
| --- | --- |
| Population: | 30,023,709 (July 2018 est.) |
| Nationality: | noun: Uzbekistani |
| Nationality: | adjective: Uzbekistani |
| Ethnic groups: | Uzbek 83.8%, Tajik 4.8%, Kazakh 2.5%, Russian 2.3%, Karakalpak 2.2%, Tatar 1.5%, other 4.4% (2017 est.) |
| Languages: | Uzbek (official) 74.3%, Russian 14.2%, Tajik 4.4%, other 7.1% |
| Languages: | note: in the autonomous Karakalpakstan Republic, both the Karakalpak language and Uzbek have official status |
| Languages: | Â  |
| Religions: | Muslim 88% (mostly Sunni), Eastern Orthodox 9%, other 3% |
| Age structure: | 0-14 years: 23.61% (male 3,631,957 /female 3,457,274) |
| Age structure: | 15-24 years: 17.85% (male 2,735,083 /female 2,623,511) |
| Age structure: | 25-54 years: 44.95% (male 6,714,567 /female 6,781,485) |
| Age structure: | 55-64 years: 8.15% (male 1,156,462 /female 1,289,703) |
| Age structure: | 65 years and over: 5.44% (male 698,610 /female 935,057) (2018 est.) |
| Dependency ratios: | total dependency ratio: 47.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 41.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.2 (2015 est.) |
| Dependency ratios: | potential support ratio: 16 (2015 est.) |
| Median age: | total: 29.1 years (2018 est.) |
| Median age: | male: 28.5 years |
| Median age: | female: 29.7 years |
| Population growth rate: | 0.91% (2018 est.) |
| Birth rate: | 16.6 births/1,000 population (2018 est.) |
| Death rate: | 5.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -2.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | most of the population is concentrated in the fertile Fergana Valley in the easternmost arm of the country; the south has significant clusters of people, while the central and western deserts are sparsely populated |
| Urbanization: | urban population: 50.4% of total population (2019) |
| Urbanization: | rate of urbanization: 1.28% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.49 million TASHKENT (capital) (2019) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 23.4 years (2014 est.) |
| Maternal mortality rate: | 29 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 17.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 20.7 deaths/1,000 live births |
| Infant mortality rate: | female: 14 deaths/1,000 live births |
| Life expectancy at birth: | total population: 74.3 years (2018 est.) |
| Life expectancy at birth: | male: 71.2 years |
| Life expectancy at birth: | female: 77.5 years |
| Total fertility rate: | 1.75 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 98.5% of population |
| Drinking water source: | rural: 80.9% of population |
| Drinking water source: | total: 87.3% of population |
| Drinking water source: | unimproved: urban: 1.5% of population |
| Drinking water source: | rural: 19.1% of population |
| Drinking water source: | total: 12.7% of population (2012 est.) |
| Current Health Expenditure: | 6.3% (2016) |
| Physicians density: | 2.37 physicians/1,000 population (2014) |
| Hospital bed density: | 4 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 52,000 (2018 est.) |
| HIV/AIDS - deaths: | 1,300 (2018 est.) |
| Obesity - adult prevalence rate: | 16.6% (2016) |
| Education expenditures: | 6.3% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2016) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2017) |
