| People and Society | UZBEKISTAN |
| --- | --- |
| Population: | 29,748,859 (July 2017 est.) |
| Nationality: | noun: Uzbekistani |
| Nationality: | adjective: Uzbekistani |
| Ethnic groups: | Uzbek 80%, Russian 5.5%, Tajik 5%, Kazakh 3%, Karakalpak 2.5%, Tatar 1.5%, other 2.5% (1996 est.) |
| Languages: | Uzbek (official) 74.3%, Russian 14.2%, Tajik 4.4%, other 7.1% |
| Languages: | note: in the Karakalpakstan Republic, both the Karakalpak language and Uzbek have official status |
| Religions: | Muslim 88% (mostly Sunni), Eastern Orthodox 9%, other 3% |
| Age structure: | 0-14 years: 23.88% (male 3,640,914/female 3,464,304) |
| Age structure: | 15-24 years: 18.52% (male 2,804,516/female 2,706,399) |
| Age structure: | 25-54 years: 44.49% (male 6,583,745/female 6,651,261) |
| Age structure: | 55-64 years: 7.85% (male 1,105,034/female 1,231,714) |
| Age structure: | 65 years and over: 5.25% (male 667,109/female 893,863) (2017 est.) |
| Dependency ratios: | total dependency ratio: 47.7 |
| Dependency ratios: | youth dependency ratio: 41.4 |
| Dependency ratios: | elderly dependency ratio: 6.2 |
| Dependency ratios: | potential support ratio: 16 (2015 est.) |
| Median age: | total: 28.6 years |
| Median age: | male: 28 years |
| Median age: | female: 29.2 years (2017 est.) |
| Population growth rate: | 0.93% (2017 est.) |
| Birth rate: | 16.8 births/1,000 population (2017 est.) |
| Death rate: | 5.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | -2.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population is concentrated in the fertile Fergana Valley in the easternmost arm of the country; the south has significant clusters of people, while the central and western deserts are sparsely populated |
| Urbanization: | urban population: 36.6% of total population (2017) |
| Urbanization: | rate of urbanization: 1.62% annual rate of change (2015-20 est.) |
| Major urban areas - population: | TASHKENT (capital) 2.251 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 23.4 years (2014 est.) |
| Maternal mortality rate: | 36 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 18 deaths/1,000 live births |
| Infant mortality rate: | male: 21.4 deaths/1,000 live births |
| Infant mortality rate: | female: 14.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 74 years |
| Life expectancy at birth: | male: 71 years |
| Life expectancy at birth: | female: 77.3 years (2017 est.) |
| Total fertility rate: | 1.76 children born/woman (2017 est.) |
| Health expenditures: | 5.8% of GDP (2014) |
| Physicians density: | 2.45 physicians/1,000 population (2014) |
| Hospital bed density: | 4.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.5% of population |
| Drinking water source: | rural: 80.9% of population |
| Drinking water source: | total: 87.3% of population |
| unimproved: | urban: 1.5% of population |
| unimproved: | rural: 19.1% of population |
| unimproved: | total: 12.7% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 16.6% (2016) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2016) |
