| People and Society | IRELAND |
| --- | --- |
| Population: | 4,952,473 (July 2016 est.) |
| Nationality: | noun: Irishman(men), Irishwoman(women), Irish (collective plural) |
| Nationality: | adjective: Irish |
| Ethnic groups: | Irish 84.5%, other white 9.8%, Asian 1.9%, black 1.4%, mixed and other 0.9%, unspecified 1.6% (2011 est.) |
| Languages: | English (official, the language generally used), Irish (Gaelic or Gaeilge) (official, spoken by approximately 38.7% of the population as a first or second language in 2011; mainly spoken in areas along the western coast) |
| Religions: | Roman Catholic 84.7%, Church of Ireland 2.7%, other Christian 2.7%, Muslim 1.1%, other 1.7%, unspecified 1.5%, none 5.7% (2011 est.) |
| Age structure: | 0-14 years: 21.51% (male 544,506/female 520,934) |
| Age structure: | 15-24 years: 11.8% (male 297,025/female 287,512) |
| Age structure: | 25-54 years: 43.52% (male 1,082,577/female 1,072,721) |
| Age structure: | 55-64 years: 10.33% (male 256,353/female 255,155) |
| Age structure: | 65 years and over: 12.84% (male 293,577/female 342,113) (2016 est.) |
| Dependency ratios: | total dependency ratio: 53.7% |
| Dependency ratios: | youth dependency ratio: 33.5% |
| Dependency ratios: | elderly dependency ratio: 20.2% |
| Dependency ratios: | potential support ratio: 5% (2015 est.) |
| Median age: | total: 36.4 years |
| Median age: | male: 36.1 years |
| Median age: | female: 36.8 years (2016 est.) |
| Population growth rate: | 1.2% (2016 est.) |
| Birth rate: | 14.5 births/1,000 population (2016 est.) |
| Death rate: | 6.5 deaths/1,000 population (2016 est.) |
| Net migration rate: | 4 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | population distribution is weighted to the eastern side of the island, with the largest agglomeration being in and around Dublin; populations in the west are small due to mountainous land, poorer soil, lack of good transport routes, and fewer job opportunities |
| Urbanization: | urban population: 63.2% of total population (2015) |
| Urbanization: | rate of urbanization: 1.58% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DUBLIN (capital) 1.169 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 29.9 (2012 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.7 deaths/1,000 live births |
| Infant mortality rate: | male: 4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 80.8 years |
| Life expectancy at birth: | male: 78.5 years |
| Life expectancy at birth: | female: 83.2 years (2016 est.) |
| Total fertility rate: | 1.98 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 64.8% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2004/05) |
| Health expenditures: | 7.8% of GDP (2014) |
| Physicians density: | 2.67 physicians/1,000 population (2013) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.9% of population |
| Drinking water source: | rural: 97.8% of population |
| Drinking water source: | total: 97.9% of population |
| unimproved: | urban: 2.1% of population |
| unimproved: | rural: 2.2% of population |
| unimproved: | total: 2.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.1% of population |
| Sanitation facility access: | rural: 92.9% of population |
| Sanitation facility access: | total: 90.5% of population |
| unimproved: | urban: 10.9% of population |
| unimproved: | rural: 7.1% of population |
| unimproved: | total: 9.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.28% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,000 (2014 est.) |
| HIV/AIDS - deaths: | 100 (2014 est.) |
| Obesity - adult prevalence rate: | 27% (2014) |
| Education expenditures: | 5.8% of GDP (2012) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 19 years (2012) |
| Unemployment, youth ages 15-24: | total: 23.9% |
| Unemployment, youth ages 15-24: | male: 26.6% |
| Unemployment, youth ages 15-24: | female: 20.9% (2014 est.) |
