| People and Society | Vanuatu |
| --- | --- |
| Nationality: | noun: Ni-Vanuatu (singular and plural) |
| Nationality: | adjective: Ni-Vanuatu |
| Ethnic groups: | Ni-Vanuatu 98.5%, other 1.5% (1999 Census) |
| Languages: | local languages (more than 100) 72.6%, pidgin (known as Bislama or Bichelama) 23.1%, English (official) 1.9%, French (official) 1.4%, other 0.3%, unspecified 0.7% (1999 Census) |
| Religions: | Protestant 55.6% (Presbyterian 31.4%, Anglican 13.4%, Seventh-Day Adventist 10.8%), Roman Catholic 13.1%, other Christian 13.8%, indigenous beliefs 5.6% (including Jon Frum cargo cult), other 9.6%, none 1%, unspecified 1.3% (1999 Census) |
| Population: | 224,564 (July 2011 est.) |
| Age structure: | 0-14 years: 29.6% (male 33,968/female 32,550) |
| Age structure: | 15-64 years: 66.1% (male 75,559/female 72,919) |
| Age structure: | 65 years and over: 4.3% (male 4,862/female 4,706) (2011 est.) |
| Median age: | total: 24.9 years |
| Median age: | male: 24.9 years |
| Median age: | female: 25 years (2011 est.) |
| Population growth rate: | 1.343% (2011 est.) |
| Birth rate: | 20.86 births/1,000 population (2011 est.) |
| Death rate: | 7.43 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 26% of total population (2010) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 1.05 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 46.85 deaths/1,000 live births |
| Infant mortality rate: | male: 49.3 deaths/1,000 live births |
| Infant mortality rate: | female: 44.28 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 64.7 years |
| Life expectancy at birth: | male: 63.04 years |
| Life expectancy at birth: | female: 66.44 years (2011 est.) |
| Total fertility rate: | 2.39 children born/woman (2011 est.) |
| Health expenditures: | 4% of GDP (2009) |
| Physicians density: | 0.116 physicians/1,000 population (2008) |
| Hospital bed density: | 1.69 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96% of population |
| Drinking water source: | rural: 79% of population |
| Drinking water source: | total: 83% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 21% of population |
| unimproved: | total: 17% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 66% of population |
| Sanitation facility access: | rural: 48% of population |
| Sanitation facility access: | total: 52% of population |
| unimproved: | urban: 34% of population |
| unimproved: | rural: 52% of population |
| unimproved: | total: 48% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 4.8% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 74% |
| Literacy: | male: NA |
| Literacy: | female: NA (1999 census) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2004) |
