| People and Society | VANUATU |
| --- | --- |
| Population: | 282,814 (July 2017 est.) |
| Nationality: | noun: Ni-Vanuatu (singular and plural) |
| Nationality: | adjective: Ni-Vanuatu |
| Ethnic groups: | Ni-Vanuatu 97.6%, part Ni-Vanuatu 1.1%, other 1.3% (2009 est.) |
| Languages: | local languages (more than 100) 63.2%, Bislama (official; creole) 33.7%, English (official) 2%, French (official) 0.6%, other 0.5% (2009 est.) |
| Religions: | Protestant 70% (includes Presbyterian 27.9%, Anglican 15.1%, Seventh Day Adventist 12.5%, Assemblies of God 4.7%, Church of Christ 4.5%, Neil Thomas Ministry 3.1%, and Apostolic 2.2%), Roman Catholic 12.4%, customary beliefs 3.7% (including Jon Frum cargo cult), other 12.6%, none 1.1%, unspecified 0.2% (2009 est.) |
| Age structure: | 0-14 years: 35.51% (male 51,261/female 49,157) |
| Age structure: | 15-24 years: 20.02% (male 28,110/female 28,514) |
| Age structure: | 25-54 years: 35.06% (male 48,476/female 50,675) |
| Age structure: | 55-64 years: 5.42% (male 7,646/female 7,677) |
| Age structure: | 65 years and over: 3.99% (male 5,713/female 5,585) (2017 est.) |
| Dependency ratios: | total dependency ratio: 68.7 |
| Dependency ratios: | youth dependency ratio: 61.6 |
| Dependency ratios: | elderly dependency ratio: 7.1 |
| Dependency ratios: | potential support ratio: 14.1 (2015 est.) |
| Median age: | total: 22 years |
| Median age: | male: 21.6 years |
| Median age: | female: 22.4 years (2017 est.) |
| Population growth rate: | 1.85% (2017 est.) |
| Birth rate: | 24 births/1,000 population (2017 est.) |
| Death rate: | 4 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | three-quarters of the population lives in rural areas; the urban populace lives primarily in two cities, Port-Vila and Lugenville; three largest islands - Espiritu Santo, Malakula, and Efate - accomodate over half of the populace |
| Urbanization: | urban population: 26.8% of total population (2017) |
| Urbanization: | rate of urbanization: 3.23% annual rate of change (2015-20 est.) |
| Major urban areas - population: | PORT-VILA (capital) 53,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 1.04 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Maternal mortality rate: | 78 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 14.4 deaths/1,000 live births |
| Infant mortality rate: | male: 15.4 deaths/1,000 live births |
| Infant mortality rate: | female: 13.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 73.7 years |
| Life expectancy at birth: | male: 72.1 years |
| Life expectancy at birth: | female: 75.4 years (2017 est.) |
| Total fertility rate: | 3.07 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 49% (2013) |
| Health expenditures: | 5% of GDP (2014) |
| Physicians density: | 0.19 physicians/1,000 population (2012) |
| Hospital bed density: | 1.8 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.9% of population |
| Drinking water source: | rural: 92.9% of population |
| Drinking water source: | total: 94.5% of population |
| unimproved: | urban: 1.1% of population |
| unimproved: | rural: 7.1% of population |
| unimproved: | total: 5.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 65.1% of population |
| Sanitation facility access: | rural: 55.4% of population |
| Sanitation facility access: | total: 57.9% of population |
| unimproved: | urban: 34.9% of population |
| unimproved: | rural: 44.6% of population |
| unimproved: | total: 42.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 25.2% (2016) |
| Children under the age of 5 years underweight: | 10.7% (2013) |
| Education expenditures: | 4.9% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.2% |
| Literacy: | male: 86.6% |
| Literacy: | female: 83.8% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 10.6% |
| Unemployment, youth ages 15-24: | male: 10.2% |
| Unemployment, youth ages 15-24: | female: 11.2% (2009 est.) |
