| People and Society | VANUATU |
| --- | --- |
| Population: | 277,554 (July 2016 est.) |
| Nationality: | noun: Ni-Vanuatu (singular and plural) |
| Nationality: | adjective: Ni-Vanuatu |
| Ethnic groups: | Ni-Vanuatu 97.6%, part Ni-Vanuatu 1.1%, other 1.3% (2009 est.) |
| Languages: | local languages (more than 100) 63.2%, Bislama (official; creole) 33.7%, English (official) 2%, French (official) 0.6%, other 0.5% (2009 est.) |
| Religions: | Protestant 70% (includes Presbyterian 27.9%, Anglican 15.1%, Seventh Day Adventist 12.5%, Assemblies of God 4.7%, Church of Christ 4.5%, Neil Thomas Ministry 3.1%, and Apostolic 2.2%), Roman Catholic 12.4%, customary beliefs 3.7% (including Jon Frum cargo cult), other 12.6%, none 1.1%, unspecified 0.2% (2009 est.) |
| Age structure: | 0-14 years: 36.11% (male 51,160/female 49,073) |
| Age structure: | 15-24 years: 20% (male 27,559/female 27,939) |
| Age structure: | 25-54 years: 34.74% (male 47,189/female 49,244) |
| Age structure: | 55-64 years: 5.27% (male 7,327/female 7,297) |
| Age structure: | 65 years and over: 3.88% (male 5,470/female 5,296) (2016 est.) |
| Dependency ratios: | total dependency ratio: 68.7% |
| Dependency ratios: | youth dependency ratio: 61.6% |
| Dependency ratios: | elderly dependency ratio: 7.1% |
| Dependency ratios: | potential support ratio: 14.1% (2015 est.) |
| Median age: | total: 21.7 years |
| Median age: | male: 21.3 years |
| Median age: | female: 22.1 years (2016 est.) |
| Population growth rate: | 1.9% (2016 est.) |
| Birth rate: | 24.5 births/1,000 population (2016 est.) |
| Death rate: | 4.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -1.4 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 26.1% of total population (2015) |
| Urbanization: | rate of urbanization: 3.42% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PORT-VILA (capital) 53,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 1.04 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Maternal mortality rate: | 78 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 15.1 deaths/1,000 live births |
| Infant mortality rate: | male: 16.1 deaths/1,000 live births |
| Infant mortality rate: | female: 14 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 73.4 years |
| Life expectancy at birth: | male: 71.8 years |
| Life expectancy at birth: | female: 75.1 years (2016 est.) |
| Total fertility rate: | 3.16 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 38.4% (2007) |
| Health expenditures: | 5% of GDP (2014) |
| Physicians density: | 0.12 physicians/1,000 population (2008) |
| Hospital bed density: | 1.8 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.9% of population |
| Drinking water source: | rural: 92.9% of population |
| Drinking water source: | total: 94.5% of population |
| unimproved: | urban: 1.1% of population |
| unimproved: | rural: 7.1% of population |
| unimproved: | total: 5.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 65.1% of population |
| Sanitation facility access: | rural: 55.4% of population |
| Sanitation facility access: | total: 57.9% of population |
| unimproved: | urban: 34.9% of population |
| unimproved: | rural: 44.6% of population |
| unimproved: | total: 42.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 32.9% (2014) |
| Children under the age of 5 years underweight: | 10.7% (2013) |
| Education expenditures: | 4.9% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.2% |
| Literacy: | male: 86.6% |
| Literacy: | female: 83.8% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 10.6% |
| Unemployment, youth ages 15-24: | male: 10.2% |
| Unemployment, youth ages 15-24: | female: 11.2% (2009 est.) |
