| People and Society | IRAN |
| --- | --- |
| Nationality: | noun: Iranian(s) |
| Nationality: | adjective: Iranian |
| Ethnic groups: | Persian, Azeri, Kurd, Lur, Baloch, Arab, Turkmen and Turkic tribes |
| Languages: | Persian (official), Azeri Turkic and Turkic dialects, Kurdish, Gilaki and Mazandarani, Luri, Balochi, Arabic, other |
| Religions: | Muslim (official) 99.4% (Shia 90-95%, Sunni 5-10%), other (includes Zoroastrian, Jewish, and Christian) 0.3%, unspecified 0.4% (2011 est.) |
| Population: | 81,824,270 (July 2015 est.) |
| Age structure: | 0-14 years: 23.69% (male 9,937,715/female 9,449,716) |
| Age structure: | 15-24 years: 17.58% (male 7,386,826/female 6,998,188) |
| Age structure: | 25-54 years: 46.87% (male 19,534,794/female 18,817,480) |
| Age structure: | 55-64 years: 6.58% (male 2,650,049/female 2,731,997) |
| Age structure: | 65 years and over: 5.28% (male 1,990,961/female 2,326,544) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 40.2% |
| population pyramid: | youth dependency ratio: 33.1% |
| population pyramid: | elderly dependency ratio: 7.1% |
| population pyramid: | potential support ratio: 14.1% (2015 est.) |
| Median age: | total: 28.8 years |
| Median age: | male: 28.6 years |
| Median age: | female: 29.1 years (2015 est.) |
| Population growth rate: | 1.2% (2015 est.) |
| Birth rate: | 17.99 births/1,000 population (2015 est.) |
| Death rate: | 5.94 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.07 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 73.4% of total population (2015) |
| Urbanization: | rate of urbanization: 2.07% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TEHRAN (capital) 8.432 million; Mashhad 3.014 million; Esfahan 1.88 million; Karaj 1.807 million; Shiraz 1.661 million; Tabriz 1.572 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 38.04 deaths/1,000 live births |
| Infant mortality rate: | male: 38.58 deaths/1,000 live births |
| Infant mortality rate: | female: 37.48 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 71.15 years |
| Life expectancy at birth: | male: 69.56 years |
| Life expectancy at birth: | female: 72.82 years (2015 est.) |
| Total fertility rate: | 1.83 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 77.4% (2010/11) |
| Health expenditures: | 6.7% of GDP (2013) |
| Physicians density: | 0.89 physicians/1,000 population (2005) |
| Hospital bed density: | 0.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.7% of population |
| Drinking water source: | rural: 92.1% of population |
| Drinking water source: | total: 96.2% of population |
| unimproved: | urban: 2.3% of population |
| unimproved: | rural: 7.9% of population |
| unimproved: | total: 3.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92.8% of population |
| Sanitation facility access: | rural: 82.3% of population |
| Sanitation facility access: | total: 90% of population |
| unimproved: | urban: 7.2% of population |
| unimproved: | rural: 17.7% of population |
| unimproved: | total: 10% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.14% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 74,400 (2014 est.) |
| HIV/AIDS - deaths: | 4,100 (2014 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: Crimean-Congo hemorrhagic fever |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 24.9% (2014) |
| Education expenditures: | 3.7% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.8% |
| Literacy: | male: 91.2% |
| Literacy: | female: 82.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2012) |
| Unemployment, youth ages 15-24: | total: 23% |
| Unemployment, youth ages 15-24: | male: 20.2% |
| Unemployment, youth ages 15-24: | female: 33.9% (2008 est.) |
