| People | Niger |
| --- | --- |
| Population: | 12,894,865 (July 2007 est.) |
| Age structure: | 0-14 years: 46.9% (male 3,083,871/female 2,969,201) |
| Age structure: | 15-64 years: 50.6% (male 3,354,783/female 3,174,039) |
| Age structure: | 65 years and over: 2.4% (male 155,430/female 157,541) (2007 est.) |
| Median age: | total: 16.5 years |
| Median age: | male: 16.5 years |
| Median age: | female: 16.4 years (2007 est.) |
| Population growth rate: | 2.898% (2007 est.) |
| Birth rate: | 50.16 births/1,000 population (2007 est.) |
| Death rate: | 20.59 deaths/1,000 population (2007 est.) |
| Net migration rate: | -0.59 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.039 male(s)/female |
| Sex ratio: | 15-64 years: 1.057 male(s)/female |
| Sex ratio: | 65 years and over: 0.987 male(s)/female |
| Sex ratio: | total population: 1.047 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 116.83 deaths/1,000 live births |
| Infant mortality rate: | male: 120.78 deaths/1,000 live births |
| Infant mortality rate: | female: 112.76 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 44.03 years |
| Life expectancy at birth: | male: 44.05 years |
| Life expectancy at birth: | female: 44 years (2007 est.) |
| Total fertility rate: | 7.37 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 70,000 (2003 est.) |
| HIV/AIDS - deaths: | 4,800 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria is a high risk in some locations |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified among birds in this country or surrounding region; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2007) |
| Nationality: | noun: Nigerien(s) |
| Nationality: | adjective: Nigerien |
| Ethnic groups: | Haoussa 55.4%, Djerma Sonrai 21%, Touareg 9.3%, Peuhl 8.5%, Kanouri Manga 4.7%, other 1.2% (2001 census) |
| Religions: | Muslim 80%, other (includes indigenous beliefs and Christian) 20% |
| Languages: | French (official), Hausa, Djerma |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 28.7% |
| Literacy: | male: 42.9% |
| Literacy: | female: 15.1% (2005 est.) |
