| People | Niger |
| --- | --- |
| Population: | 13,272,679 (July 2008 est.) |
| Age structure: | 0-14 years: 47% (male 3,174,834/female 3,057,003) |
| Age structure: | 15-64 years: 50.6% (male 3,450,393/female 3,267,496) |
| Age structure: | 65 years and over: 2.4% (male 159,945/female 163,008) (2008 est.) |
| Median age: | total: 16.4 years |
| Median age: | male: 16.5 years |
| Median age: | female: 16.4 years (2008 est.) |
| Population growth rate: | 2.878% (2008 est.) |
| Birth rate: | 49.62 births/1,000 population (2008 est.) |
| Death rate: | 20.26 deaths/1,000 population (2008 est.) |
| Net migration rate: | -0.57 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.98 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 115.42 deaths/1,000 live births |
| Infant mortality rate: | male: 119.3 deaths/1,000 live births |
| Infant mortality rate: | female: 111.42 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 44.28 years |
| Life expectancy at birth: | male: 44.3 years |
| Life expectancy at birth: | female: 44.26 years (2008 est.) |
| Total fertility rate: | 7.29 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 70,000 (2003 est.) |
| HIV/AIDS - deaths: | 4,800 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Nigerien(s) |
| Nationality: | adjective: Nigerien |
| Ethnic groups: | Haoussa 55.4%, Djerma Sonrai 21%, Tuareg 9.3%, Peuhl 8.5%, Kanouri Manga 4.7%, other 1.2% (2001 census) |
| Religions: | Muslim 80%, other (includes indigenous beliefs and Christian) 20% |
| Languages: | French (official), Hausa, Djerma |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 28.7% |
| Literacy: | male: 42.9% |
| Literacy: | female: 15.1% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 4 years |
| School life expectancy (primary to tertiary education): | male: 5 years |
| School life expectancy (primary to tertiary education): | female: 3 years (2006) |
| Education expenditures: | 3.4% of GDP (2006) |
