| People and Society | Niger |
| --- | --- |
| Nationality: | noun: Nigerien(s) |
| Nationality: | adjective: Nigerien |
| Ethnic groups: | Haoussa 55.4%, Djerma Sonrai 21%, Tuareg 9.3%, Peuhl 8.5%, Kanouri Manga 4.7%, other 1.2% (2001 census) |
| Languages: | French (official), Hausa, Djerma |
| Religions: | Muslim 80%, other (includes indigenous beliefs and Christian) 20% |
| Population: | 17,466,172 (July 2014 est.) |
| Age structure: | 0-14 years: 49.8% (male 4,387,785/female 4,308,312) |
| Age structure: | 15-24 years: 18.4% (male 1,586,720/female 1,626,457) |
| Age structure: | 25-54 years: 25.9% (male 2,261,287/female 2,266,576) |
| Age structure: | 55-64 years: 3.3% (male 294,446/female 274,268) |
| Age structure: | 65 years and over: 2.6% (male 234,079/female 226,242) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 111.6 % |
| population pyramid: | youth dependency ratio: 1.6 % |
| population pyramid: | elderly dependency ratio: 5.5 % |
| population pyramid: | potential support ratio: 18 (2014 est.) |
| Median age: | total: 15.1 years |
| Median age: | male: 15 years |
| Median age: | female: 15.2 years (2014 est.) |
| Population growth rate: | 3.28% (2014 est.) |
| Birth rate: | 46.12 births/1,000 population (2014 est.) |
| Death rate: | 12.73 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.58 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 17.8% of total population (2011) |
| Urbanization: | rate of urbanization: 4.91% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NIAMEY (capital) 1.297 million (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 1.03 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 18.1 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 590 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 86.27 deaths/1,000 live births |
| Infant mortality rate: | male: 90.86 deaths/1,000 live births |
| Infant mortality rate: | female: 81.53 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 54.74 years |
| Life expectancy at birth: | male: 53.54 years |
| Life expectancy at birth: | female: 55.97 years (2014 est.) |
| Total fertility rate: | 6.89 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 13.9% (2012) |
| Health expenditures: | 5.3% of GDP (2011) |
| Physicians density: | 0.02 physicians/1,000 population (2008) |
| Hospital bed density: | 0.31 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.7% of population |
| Drinking water source: | rural: 42.1% of population |
| Drinking water source: | total: 52.3% of population |
| unimproved: | urban: 1.3% of population |
| unimproved: | rural: 57.9% of population |
| unimproved: | total: 47.7% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32.9% of population |
| Sanitation facility access: | rural: 3.8% of population |
| Sanitation facility access: | total: 9% of population |
| unimproved: | urban: 67.1% of population |
| unimproved: | rural: 96.2% of population |
| unimproved: | total: 91% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 46,300 (2012 est.) |
| HIV/AIDS - deaths: | 3,400 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 2.4% (2008) |
| Children under the age of 5 years underweight: | 39.9% (2006) |
| Education expenditures: | 4.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 28.7% |
| Literacy: | male: 42.9% |
| Literacy: | female: 15.1% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 5 years |
| School life expectancy (primary to tertiary education): | male: 6 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2012) |
| Child labor - children ages 5-14: | total number: 1,557,913 |
| Child labor - children ages 5-14: | percentage: 43 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 3.2% |
| Unemployment, youth ages 15-24: | male: 4% |
| Unemployment, youth ages 15-24: | female: 1.7% (2001) |
