| People and Society | Libya |
| --- | --- |
| Population: | 6,754,507 (July 2018 est.) |
| Population: | note: immigrants make up just over 12% of the total population, according to UN data (2017) |
| Nationality: | noun: Libyan(s) |
| Nationality: | adjective: Libyan |
| Ethnic groups: | Berber and Arab 97%, other 3% (includes Egyptian, Greek, Indian, Italian, Maltese, Pakistani, Tunisian, and Turkish) |
| Languages: | Arabic (official), Italian, English (all widely understood in the major cities); Berber (Nafusi, Ghadamis, Suknah, Awjilah, Tamasheq) |
| Religions: | Muslim (official; virtually all Sunni) 96.6%, Christian 2.7%, Buddhist 0.3%, Hindu <0.1, Jewish <0.1, folk religion <0.1, unafilliated 0.2%, other <0.1 (2010 est.) |
| Religions: | note: non-Sunni Muslims include native Ibadhi Muslims (<1% of the population) and foreign Muslims |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Demographic profile: | Despite continuing unrest, Libya remains a destination country for economic migrants. It is also a hub for transit migration to Europe because of its proximity to southern Europe and its lax border controls. Labor migrants have been drawn to Libya since the development of its oil sector in the 1960s. Until the latter part of the 1990s, most migrants to Libya were Arab (primarily Egyptians and Sudanese). However, international isolation stemming from Libyaâ€™s involvement in international terrorism and a perceived lack of support from Arab countries led QADHAFI in 1998 to adopt a decade-long pan-African policy that enabled large numbers of sub-Saharan migrants to enter Libya without visas to work in the construction and agricultural industries. Although sub-Saharan Africans provided a cheap labor source, they were poorly treated and were subjected to periodic mass expulsions. |
| Demographic profile: | By the mid-2000s, domestic animosity toward African migrants and a desire to reintegrate into the international community motivated QADHAFI to impose entry visas on Arab and African immigrants and to agree to joint maritime patrols and migrant repatriations with Italy, the main recipient of illegal migrants departing Libya. As his regime neared collapse in 2011, QADHAFI reversed his policy of cooperating with Italy to curb illegal migration and sent boats loaded with migrants and asylum seekers to strain European resources. Libyaâ€™s 2011 revolution decreased immigration drastically and prompted nearly 800,000 migrants to flee to third countries, mainly Tunisia and Egypt, or to their countries of origin. The inflow of migrants declined in 2012 but returned to normal levels by 2013, despite continued hostility toward sub-Saharan Africans and a less-inviting job market. |
| Demographic profile: | While Libya is not an appealing destination for migrants, since 2014, transiting migrants â€“ primarily from East and West Africa â€“ continue to exploit its political instability and weak border controls and use it as a primary departure area to migrate across the central Mediterranean to Europe in growing numbers. In addition, more than 200,000 people were displaced internally as of August 2017 by fighting between armed groups in eastern and western Libya and, to a lesser extent, by inter-tribal clashes in the countryâ€™s south. |
| Age structure: | 0-14 years: 25.53% (male 882,099 /female 842,320) |
| Age structure: | 15-24 years: 16.81% (male 582,247 /female 553,004) |
| Age structure: | 25-54 years: 47.47% (male 1,684,019 /female 1,522,027) |
| Age structure: | 55-64 years: 5.77% (male 197,196 /female 192,320) |
| Age structure: | 65 years and over: 4.43% (male 147,168 /female 152,107) (2018 est.) |
| Dependency ratios: | total dependency ratio: 49.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 42.6 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.4 (2015 est.) |
| Dependency ratios: | potential support ratio: 15.5 (2015 est.) |
| Median age: | total: 29.4 years (2018 est.) |
