| People and Society | Libya |
| --- | --- |
| Nationality: | noun: Libyan(s) |
| Nationality: | adjective: Libyan |
| Ethnic groups: | Berber and Arab 97%, other 3% (includes Greeks, Maltese, Italians, Egyptians, Pakistanis, Turks, Indians, and Tunisians) |
| Languages: | Arabic (official), Italian, English (all widely understood in the major cities); Berber (Nafusi, Ghadamis, Suknah, Awjilah, Tamasheq) |
| Religions: | Muslim (official; virtually all Sunni) 96.6%, Christian 2.7%, Buddhist 0.3%, Hindu |
| Religions: | note: non-Sunni Muslims include native Ibadhi Muslims ( |
| Population: | 6,244,174 |
| Population: | note: immigrants make up just over 12% of the total population, according to UN data (2013) (July 2014 est.) |
| Age structure: | 0-14 years: 26.9% (male 859,016/female 820,643) |
| Age structure: | 15-24 years: 18.2% (male 586,749/female 546,602) |
| Age structure: | 25-54 years: 46.1% (male 1,509,108/female 1,370,709) |
| Age structure: | 55-64 years: 4.8% (male 154,847/female 145,330) |
| Age structure: | 65 years and over: 3.9% (male 126,691/female 124,479) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.2 % |
| population pyramid: | youth dependency ratio: 44.8 % |
| population pyramid: | elderly dependency ratio: 7.4 % |
| population pyramid: | potential support ratio: 13.5 (2014 est.) |
| Median age: | total: 27.5 years |
| Median age: | male: 27.7 years |
| Median age: | female: 27.4 years (2014 est.) |
| Population growth rate: | 3.08% (2014 est.) |
| Birth rate: | 18.4 births/1,000 population (2014 est.) |
| Death rate: | 3.57 deaths/1,000 population (2014 est.) |
| Net migration rate: | 16.01 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 77.7% of total population (2011) |
| Urbanization: | rate of urbanization: 1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TRIPOLI (capital) 1.127 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 1.08 male(s)/female |
| Sex ratio: | 65 years and over: 1.04 male(s)/female |
| Sex ratio: | total population: 1.08 male(s)/female (2014 est.) |
| Maternal mortality rate: | 58 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 11.87 deaths/1,000 live births |
| Infant mortality rate: | male: 12.83 deaths/1,000 live births |
| Infant mortality rate: | female: 10.85 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 76.04 years |
| Life expectancy at birth: | male: 74.36 years |
| Life expectancy at birth: | female: 77.82 years (2014 est.) |
| Total fertility rate: | 2.07 children born/woman (2014 est.) |
| Health expenditures: | 4.4% of GDP (2011) |
| Physicians density: | 1.9 physicians/1,000 population (2009) |
| Hospital bed density: | 3.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 54.2% of population |
| Drinking water source: | rural: 54.9% of population |
| Drinking water source: | total: 54.4% of population |
| unimproved: | urban: 45.8% of population |
| unimproved: | rural: 45.1% of population |
| unimproved: | total: 45.6% of population (2001 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.8% of population |
| Sanitation facility access: | rural: 95.7% of population |
| Sanitation facility access: | total: 96.6% of population |
| unimproved: | urban: 3.2% of population |
| unimproved: | rural: 4.3% of population |
| unimproved: | total: 3.4% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 10,000 (2001 est.) |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 27.8% (2008) |
| Children under the age of 5 years underweight: | 5.6% (2007) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89.5% |
| Literacy: | male: 95.8% |
| Literacy: | female: 83.3% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2003) |
