| People and Society | Suriname |
| --- | --- |
| Nationality: | noun: Surinamer(s) |
| Nationality: | adjective: Surinamese |
| Ethnic groups: | Hindustani (also known locally as "East Indians"; their ancestors emigrated from northern India in the latter part of the 19th century) 37%, Creole (mixed white and black) 31%, Javanese 15%, "Maroons" (their African ancestors were brought to the country in the 17th and 18th centuries as slaves and escaped to the interior) 10%, Amerindian 2%, Chinese 2%, white 1%, other 2% |
| Languages: | Dutch (official), English (widely spoken), Sranang Tongo (Surinamese, sometimes called Taki-Taki, is native language of Creoles and much of the younger population and is lingua franca among others), Caribbean Hindustani (a dialect of Hindi), Javanese |
| Religions: | Hindu 27.4%, Protestant 25.2% (predominantly Moravian), Roman Catholic 22.8%, Muslim 19.6%, indigenous beliefs 5% |
| Demographic profile: | Suriname is a pluralistic society consisting primarily of Creoles (persons of mixed African and European heritage), the descendants of escaped African slaves known as Maroons, and the descendants of Indian and Javanese contract workers. The country overall is in full, post-industrial demographic transition, with a low fertility rate, a moderate mortality rate, and a rising life expectancy. However, the Maroon population of the rural interior lags behind because of lower educational attainment and contraceptive use, higher malnutrition, and significantly less access to electricity, potable water, sanitation, infrastructure, and health care. |
| Demographic profile: | Some 350,000 people of Surinamese descent live in the Netherlands, Suriname's former colonial ruler. In the 19th century, better-educated, largely Dutch-speaking Surinamese began emigrating to the Netherlands. World War II interrupted the outflow, but it resumed after the war when Dutch labor demands grew - emigrants included all segments of the Creole population. Suriname still is strongly influenced by the Netherlands because most Surinamese have relatives living there and it is the largest supplier of development aid. Other emigration destinations include French Guiana and the United States. Suriname's immigration rules are flexible, and the country is easy to enter illegally because rainforests obscure its borders. Since the mid-1980s, Brazilians have settled in Suriname's capital, Paramaribo, or eastern Suriname, where they mine gold. This immigration is likely to slowly re-orient Suriname toward its Latin American roots. |
| Population: | 573,311 (July 2014 est.) |
| Age structure: | 0-14 years: 26.2% (male 76,565/female 73,676) |
| Age structure: | 15-24 years: 17.6% (male 51,322/female 49,313) |
| Age structure: | 25-54 years: 44.1% (male 128,620/female 124,034) |
| Age structure: | 55-64 years: 6.5% (male 18,140/female 19,158) |
| Age structure: | 65 years and over: 5.6% (male 14,041/female 18,442) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.7 % |
| population pyramid: | youth dependency ratio: 40.6 % |
| population pyramid: | elderly dependency ratio: 10.1 % |
| population pyramid: | potential support ratio: 9.9 (2014 est.) |
| Median age: | total: 28.6 years |
| Median age: | male: 28.3 years |
| Median age: | female: 29 years (2014 est.) |
| Population growth rate: | 1.12% (2014 est.) |
| Birth rate: | 16.73 births/1,000 population (2014 est.) |
| Death rate: | 6.13 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0.57 migrant(s)/1,000 population (2014 est.) |
