| People and Society | Brazil |
| --- | --- |
| Nationality: | noun: Brazilian(s) |
| Nationality: | adjective: Brazilian |
| Ethnic groups: | white 47.7%, mulatto (mixed white and black) 43.1%, black 7.6%, Asian 1.1%, indigenous 0.4% (2010 est.) |
| Languages: | Portuguese (official and most widely spoken language) |
| Languages: | note: less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages |
| Religions: | Roman Catholic 64.6%, other Catholic 0.4%, Protestant 22.2% (includes Adventist 6.5%, Assembly of God 2.0%, Christian Congregation of Brazil 1.2%, Universal Kingdom of God 1.0%, other Protestant 11.5%), other Christian 0.7%, Spiritist 2.2%, other 1.4%, none 8%, unspecified 0.4% (2010 est.) |
| Demographic profile: | Brazil's rapid fertility decline since the 1960s is the main factor behind the country's slowing population growth rate, aging population, and fast-paced demographic transition. Brasilia has not taken full advantage of its large working-age population to develop its human capital and strengthen its social and economic institutions but is funding a study abroad program to bring advanced skills back to the country. The current favorable age structure will begin to shift around 2025, with the labor force shrinking and the elderly starting to compose an increasing share of the total population. Well-funded public pensions have nearly wiped out poverty among the elderly, and Bolsa Familia and other social programs have lifted tens of millions out of poverty. More than half of Brazil's population is considered middle class, but poverty and income inequality levels remain high; the Northeast, North, and Center-West, women, and black, mixed race, and indigenous populations are disproportionately affected. Disparities in opportunities foster social exclusion and contribute to Brazil's high crime rate, particularly violent crime in cities and favelas. |
| Demographic profile: | Brazil has traditionally been a net recipient of immigrants, with its southeast being the prime destination. After the importation of African slaves was outlawed in the mid-19th century, Brazil sought Europeans (Italians, Portuguese, Spaniards, and Germans) and later Asians (Japanese) to work in agriculture, especially coffee cultivation. Recent immigrants come mainly from Argentina, Chile, and Andean countries (many are unskilled illegal migrants) or are returning Brazilian nationals. Since Brazil's economic downturn in the 1980s, emigration to the United States, Europe, and Japan has been rising but is negligible relative to Brazil's total population. The majority of these emigrants are well-educated and middle-class. Fewer Brazilian peasants are emigrating to neighboring countries to take up agricultural work. |
| Population: | 202,656,788 (July 2014 est.) |
| Age structure: | 0-14 years: 23.8% (male 24,534,129/female 23,606,332) |
| Age structure: | 15-24 years: 16.5% (male 16,993,708/female 16,521,057) |
| Age structure: | 25-54 years: 43.7% (male 43,910,790/female 44,674,915) |
| Age structure: | 55-64 years: 8.4% (male 8,067,022/female 9,036,519) |
| Age structure: | 65 years and over: 7.6% (male 6,507,069/female 8,805,247) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 45.8 % |
| population pyramid: | youth dependency ratio: 34.4 % |
| population pyramid: | elderly dependency ratio: 11.3 % |
| population pyramid: | potential support ratio: 8.8 (2014 est.) |
| Median age: | total: 30.7 years |
| Median age: | male: 29.9 years |
| Median age: | female: 31.5 years (2014 est.) |
| Population growth rate: | 0.8% (2014 est.) |
| Birth rate: | 14.72 births/1,000 population (2014 est.) |
| Death rate: | 6.54 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.15 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 84.6% of total population (2011) |
| Urbanization: | rate of urbanization: 1.15% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Sao Paulo 19.924 million; Rio de Janeiro 11.96 million; Belo Horizonte 5.487 million; Porto Alegre 3.933 million; Recife 3.733 million; BRASILIA (capital) 3.813 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Maternal mortality rate: | 56 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 19.21 deaths/1,000 live births |
| Infant mortality rate: | male: 22.47 deaths/1,000 live births |
