| People and Society | Brazil |
| --- | --- |
| Nationality: | noun: Brazilian(s) |
| Nationality: | adjective: Brazilian |
| Ethnic groups: | white 53.7%, mulatto (mixed white and black) 38.5%, black 6.2%, other (includes Japanese, Arab, Amerindian) 0.9%, unspecified 0.7% (2000 census) |
| Languages: | Portuguese (official and most widely spoken language) |
| Languages: | note: less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages |
| Religions: | Roman Catholic (nominal) 73.6%, Protestant 15.4%, Spiritualist 1.3%, Bantu/voodoo 0.3%, other 1.8%, unspecified 0.2%, none 7.4% (2000 census) |
| Population: | 203,429,773 (July 2011 est.) |
| Population: | note: Brazil conducted a census in August 2000, which reported a population of 169,872,855; that figure was about 3.8% lower than projections by the US Census Bureau, and is close to the implied underenumeration of 4.6% for the 1991 census |
| Age structure: | 0-14 years: 26.2% (male 27,219,651/female 26,180,040) |
| Age structure: | 15-64 years: 67% (male 67,524,642/female 68,809,357) |
| Age structure: | 65 years and over: 6.7% (male 5,796,433/female 7,899,650) (2011 est.) |
| Median age: | total: 29.3 years |
| Median age: | male: 28.5 years |
| Median age: | female: 30.1 years (2011 est.) |
| Population growth rate: | 1.134% (2011 est.) |
| Birth rate: | 17.79 births/1,000 population (2011 est.) |
| Death rate: | 6.36 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.09 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 87% of total population (2010) |
| Urbanization: | rate of urbanization: 1.1% annual rate of change (2010-15 est.) |
| Major cities - population: | Sao Paulo 19.96 million; Rio de Janeiro 11.836 million; Belo Horizonte 5.736 million; Porto Alegre 4.034 million; BRASILIA (capital) 3.789 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 58 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 21.17 deaths/1,000 live births |
| Infant mortality rate: | male: 24.63 deaths/1,000 live births |
| Infant mortality rate: | female: 17.53 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 72.53 years |
| Life expectancy at birth: | male: 68.97 years |
| Life expectancy at birth: | female: 76.27 years (2011 est.) |
| Total fertility rate: | 2.18 children born/woman (2011 est.) |
| Health expenditures: | 9% of GDP (2009) |
| Physicians density: | 1.72 physicians/1,000 population (2007) |
| Hospital bed density: | 2.4 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 84% of population |
| Drinking water source: | total: 97% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 16% of population |
| unimproved: | total: 3% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87% of population |
| Sanitation facility access: | rural: 37% of population |
| Sanitation facility access: | total: 80% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 63% of population |
| unimproved: | total: 20% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 11.1% (2003) |
| Children under the age of 5 years underweight: | 2.2% (2007) |
| Education expenditures: | 5.08% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88.6% |
| Literacy: | male: 88.4% |
| Literacy: | female: 88.8% (2004 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2008) |
| Unemployment, youth ages 15-24: | total: 17.8% |
| Unemployment, youth ages 15-24: | male: 13.9% |
| Unemployment, youth ages 15-24: | female: 23.1% (2009) |
