| People and Society | Brazil |
| --- | --- |
| Nationality: | noun: Brazilian(s) |
| Nationality: | adjective: Brazilian |
| Ethnic groups: | white 53.7%, mulatto (mixed white and black) 38.5%, black 6.2%, other (includes Japanese, Arab, Amerindian) 0.9%, unspecified 0.7% (2000 census) |
| Languages: | Portuguese (official and most widely spoken language) |
| Languages: | note: less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages |
| Religions: | Roman Catholic (nominal) 73.6%, Protestant 15.4%, Spiritualist 1.3%, Bantu/Voodoo 0.3%, other 1.8%, unspecified 0.2%, none 7.4% (2000 census) |
| Demographic profile: | Brazil's rapid fertility decline since the 1960s is the main factor behind the country's slowing population growth rate, aging population, and fast-paced demographic transition. Brasilia has not taken full advantage of its large working-age population to develop its human capital and strengthen its social and economic institutions. The current favorable age structure will begin to shift around 2025, with the labor force shrinking and the elderly starting to compose an increasing share of the total population. Well-funded public pensions have nearly wiped out poverty among the elderly, but limited social spending on children has restricted investment in education - a primary means of escaping poverty. Brazil's poverty and income inequality levels remain high despite improvements in the 2000s and continue to disproportionately affect the Northeast, North, and Center-West, women, and black, mixed race, and indigenous populations. Disparities in opportunities foster social exclusion and contribute to Brazil's high crime rate, particularly violent crime in cities and favelas. |
| Demographic profile: | Brazil has traditionally been a net recipient of immigrants, with its southeast being the prime destination. After the importation of African slaves was outlawed in the mid-19th century, Brazil sought Europeans (Italians, Portuguese, Spaniards, and Germans) and later Asians (Japanese) to work in agriculture, especially coffee cultivation. Recent immigrants come mainly from Argentina, Chile, and Andean countries (many are unskilled illegal migrants) or are returning Brazilian nationals. Since Brazil's economic downturn in the 1980s, emigration to the United States, Europe, and Japan has been rising but is negligible relative to Brazil's total population. The majority of these emigrants are well-educated and middle-class. Fewer Brazilian peasants are emigrating to neighboring countries to take up agricultural work. |
| Population: | 201,009,622 (July 2013 est.) |
| Age structure: | 0-14 years: 24.2% (male 24,814,906/female 23,879,697) |
| Age structure: | 15-24 years: 16.7% (male 16,982,245/female 16,513,161) |
| Age structure: | 25-54 years: 43.6% (male 43,396,927/female 44,170,680) |
| Age structure: | 55-64 years: 8.2% (male 7,792,041/female 8,736,359) |
| Age structure: | 65 years and over: 7.3% (male 6,250,580/female 8,473,026) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 46.2 % |
| population pyramid: | youth dependency ratio: 35.2 % |
| population pyramid: | elderly dependency ratio: 11 % |
| population pyramid: | potential support ratio: 9.1 (2013) |
| Median age: | total: 30.3 years |
| Median age: | male: 29.5 years |
| Median age: | female: 31.1 years (2013 est.) |
| Population growth rate: | 0.83% (2013 est.) |
| Birth rate: | 14.97 births/1,000 population (2013 est.) |
| Death rate: | 6.51 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.17 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 87% of total population (2010) |
| Urbanization: | rate of urbanization: 1.1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Sao Paulo 19.96 million; Rio de Janeiro 11.836 million; Belo Horizonte 5.736 million; Porto Alegre 4.034 million; BRASILIA (capital) 3.813 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2013 est.) |
| Maternal mortality rate: | 56 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 19.83 deaths/1,000 live births |
| Infant mortality rate: | male: 23.16 deaths/1,000 live births |
| Infant mortality rate: | female: 16.34 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 73.02 years |
| Life expectancy at birth: | male: 69.48 years |
| Life expectancy at birth: | female: 76.74 years (2013 est.) |
