| People and Society | Morocco |
| --- | --- |
| Population: | 34,314,130 (July 2018 est.) |
| Nationality: | noun: Moroccan(s) |
| Nationality: | adjective: Moroccan |
| Ethnic groups: | Arab-Berber 99%, other 1% |
| Languages: | Arabic (official), Berber languages (Tamazight (official), Tachelhit, Tarifit), French (often the language of business, government, and diplomacy) |
| Languages: | note:Â  the proportion of Berber speakers is disputed |
| Religions: | Muslim 99% (official; virtually all Sunni, <0.1% Shia), other 1% (includes Christian, Jewish, and Baha'i); note - Jewish about 6,000 (2010 est.) |
| Demographic profile: | Morocco is undergoing a demographic transition. Its population is growing but at a declining rate, as people live longer and women have fewer children. Infant, child, and maternal mortality rates have been reduced through better health care, nutrition, hygiene, and vaccination coverage, although disparities between urban and rural and rich and poor households persist. Moroccoâ€™s shrinking child cohort reflects the decline of its total fertility rate from 5 in mid-1980s to 2.2 in 2010, which is a result of increased female educational attainment, higher contraceptive use, delayed marriage, and the desire for smaller families. Young adults (persons aged 15-29) make up almost 26% of the total population and represent a potential economic asset if they can be gainfully employed. Currently, however, many youths are unemployed because Moroccoâ€™s job creation rate has not kept pace with the growth of its working-age population. Most youths who have jobs work in the informal sector with little security or benefits. |
| Demographic profile: | During the second half of the 20th century, Morocco became one of the worldâ€™s top emigration countries, creating large, widely dispersed migrant communities in Western Europe. The Moroccan Government has encouraged emigration since its independence in 1956, both to secure remittances for funding national development and as an outlet to prevent unrest in rebellious (often Berber) areas. Although Moroccan labor migrants earlier targeted Algeria and France, the flood of Moroccan "guest workers" from the mid-1960s to the early 1970s spread widely across northwestern Europe to fill unskilled jobs in the booming manufacturing, mining, construction, and agriculture industries. Host societies and most Moroccan migrants expected this migration to be temporary, but deteriorating economic conditions in Morocco related to the 1973 oil crisis and tighter European immigration policies resulted in these stays becoming permanent. |
| Demographic profile: | A wave of family migration followed in the 1970s and 1980s, with a growing number of second generation Moroccans opting to become naturalized citizens of their host countries. Spain and Italy emerged as new destination countries in the mid-1980s, but their introduction of visa restrictions in the early 1990s pushed Moroccans increasingly to migrate either legally by marrying Moroccans already in Europe or illegally to work in the underground economy. Women began to make up a growing share of these labor migrants. At the same time, some higher-skilled Moroccans went to the US and Quebec, Canada. |
| Demographic profile: | In the mid-1990s, Morocco developed into a transit country for asylum seekers from sub-Saharan Africa and illegal labor migrants from sub-Saharan Africa and South Asia trying to reach Europe via southern Spain, Spainâ€™s Canary Islands, or Spainâ€™s North African enclaves, Ceuta and Melilla. Forcible expulsions by Moroccan and Spanish security forces have not deterred these illegal migrants or calmed Europeâ€™s security concerns. Rabat remains unlikely to adopt an EU agreement to take back third-country nationals who have entered the EU illegally via Morocco. Thousands of other illegal migrants have chosen to stay in Morocco until they earn enough money for further travel or permanently as a "second-best" option. The launching of a regularization program in 2014 legalized the status of some migrants and granted them equal access to education, health care, and work, but xenophobia and racism remain obstacles. |
| Age structure: | 0-14 years: 25.47% (male 4,441,554 /female 4,298,715) |
| Age structure: | 15-24 years: 16.83% (male 2,873,939 /female 2,902,206) |
| Age structure: | 25-54 years: 42.41% (male 7,039,912 /female 7,513,651) |
| Age structure: | 55-64 years: 8.33% (male 1,404,527 /female 1,454,304) |
| Age structure: | 65 years and over: 6.95% (male 1,081,035 /female 1,304,287) (2018 est.) |
| Dependency ratios: | total dependency ratio: 51.6 (2015 est.) |
