| People and Society | Italy |
| --- | --- |
| Population: | 62,402,659 (July 2020 est.) |
| Nationality: | noun: Italian(s) |
| Nationality: | adjective: Italian |
| Ethnic groups: | Italian (includes small clusters of German-, French-, and Slovene-Italians in the north and Albanian-Italians and Greek-Italians in the south) |
| Languages: | Italian (official), German (parts of Trentino-Alto Adige region are predominantly German speaking), French (small French-speaking minority in Valle d'Aosta region), Slovene (Slovene-speaking minority in the Trieste-Gorizia area) |
| Religions: | Christian 83.3% (overwhelmingly Roman Catholic with very small groups of Jehovah's Witnesses and Protestants), Muslim 3.7%, unaffiliated 12.4%, other 0.6% (2010 est.) |
| Age structure: | 0-14 years: 13.45% (male 4,292,431/female 4,097,732) |
| Age structure: | 15-24 years: 9.61% (male 3,005,402/female 2,989,764) |
| Age structure: | 25-54 years: 40.86% (male 12,577,764/female 12,921,614) |
| Age structure: | 55-64 years: 14% (male 4,243,735/female 4,493,581) |
| Age structure: | 65 years and over: 22.08% (male 5,949,560/female 7,831,076) (2020 est.) |
| Dependency ratios: | total dependency ratio: 57 |
| Dependency ratios: | youth dependency ratio: 20.4 |
| Dependency ratios: | elderly dependency ratio: 36.6 |
| Dependency ratios: | potential support ratio: 2.7 (2020 est.) |
| Median age: | total: 46.5 years |
| Median age: | male: 45.4 years |
| Median age: | female: 47.5 years (2020 est.) |
| Population growth rate: | 0.11% (2020 est.) |
| Birth rate: | 8.4 births/1,000 population (2020 est.) |
| Death rate: | 10.7 deaths/1,000 population (2020 est.) |
| Net migration rate: | 3.2 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | despite a distinctive pattern with an industrial north and an agrarian south, a fairly even population distribution exists throughout most of the country, with coastal areas, the Po River Valley, and urban centers (particularly Milan, Rome, and Naples), attracting larger and denser populations |
| Urbanization: | urban population: 71% of total population (2020) |
| Urbanization: | rate of urbanization: 0.29% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 4.257 million ROME (capital), 3.140 million Milan, 2.187 million Naples, 1.792 million Turin, 892,000 Bergamo, 851,000 Palermo (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 31.1 years (2017 est.) |
| Maternal mortality rate: | 2 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.2 deaths/1,000 live births |
| Infant mortality rate: | male: 3.4 deaths/1,000 live births |
| Infant mortality rate: | female: 3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 82.5 years |
| Life expectancy at birth: | male: 79.8 years |
| Life expectancy at birth: | female: 85.3 years (2020 est.) |
| Total fertility rate: | 1.47 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 65.1% (2013) |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 8.8% (2017) |
| Physicians density: | 3.98 physicians/1,000 population (2017) |
| Hospital bed density: | 3.2 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 98.8% of population |
| Sanitation facility access: | rural: 98.6% of population |
| Sanitation facility access: | total: 98.8% of population |
| Sanitation facility access: | unimproved: urban: 1.2% of population |
| Sanitation facility access: | rural: 1.4% of population |
| Sanitation facility access: | total: 1.2% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 130,000 (2019 est.) |
| HIV/AIDS - deaths: | <1000 (2019 est.) |
| Major infectious diseases: | Covid-19 (see note) (2020) |
| Major infectious diseases: | note: a new coronavirus is causing sustained community spread of respiratory illness (COVID-19) in Italy; sustained community spread means that people have been infected with the virus, but how or where they became infected is not known, and the spread is ongoing; illness with this virus has ranged from mild to severe with fatalities reported; as of 8 December 2020, Italy has reported a total of 1,709,991 cases of COVID-19 or 28,282 cumulative cases of COVID-19 per 1 million population with 984 cumulative deaths per 1 million population; the US Department of State has issued a Travel Advisory to reconsider travel to Italy due to the recent outbreak of COVID-19; the Centers for Disease Control and Prevention has also recommended postponing nonessential travel to Italy at this time and published additional guidance at https://wwwnc.cdc.gov/travel/notices/alert/coronavirus-italy; the US Department of Homeland Security has issued instructions requiring US passengers who have been in Italy to travel through select airports where the US Government has implemented enhanced screening procedures |
| Obesity - adult prevalence rate: | 19.9% (2016) |
| Education expenditures: | 4% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.2% |
| Literacy: | male: 99.4% |
| Literacy: | female: 99% (2018) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2018) |
| Unemployment, youth ages 15-24: | total: 32.2% |
| Unemployment, youth ages 15-24: | male: 30.4% |
| Unemployment, youth ages 15-24: | female: 34.8% (2018 est.) |
